cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000252,LS1034,LS1034,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS1034_LARGE_INTESTINE
ACH-000253,COLO 201,COLO201,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COLO201_LARGE_INTESTINE
ACH-000255,LMSU,LMSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,LMSU_STOMACH
ACH-000256,COV318,COV318,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,COV318_OVARY
ACH-000257,COR-L279,CORL279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL279_LUNG
ACH-000258,Du4475,DU4475,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DU4475_BREAST
ACH-000259,KELLY,KELLY,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KELLY_AUTONOMIC_GANGLIA
ACH-000260,SK-N-AS,SKNAS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNAS_AUTONOMIC_GANGLIA
ACH-000261,RERF-LC-AI,RERFLCAI,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,RERFLCAI_LUNG
ACH-000262,UOK101,UOK101,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,UOK101_KIDNEY
ACH-000263,KASUMI-1,KASUMI1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000264,Calu-6,CALU6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CALU6_LUNG
ACH-000265,KP-4,KP4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,KP4_PANCREAS
ACH-000266,SNU-213,SNU213,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SNU213_PANCREAS
ACH-000268,SNU-245,SNU245,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,SNU245_BILIARY_TRACT
ACH-000269,AM-38,AM38,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",AM38_CENTRAL_NERVOUS_SYSTEM
ACH-000271,SU-DHL-10,SUDHL10,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000272,SLR 24,SLR24,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,SLR24_KIDNEY
ACH-000273,SF539,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,SF539_CENTRAL_NERVOUS_SYSTEM
ACH-000274,Hs 852.T,HS852T,Skin,Melanoma,Melanoma,HS852T_SKIN
ACH-000276,HCC38,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC38_BREAST
