cell_line_id,CellLineName,StrippedCellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000445,KNS-60,KNS60,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",KNS60_CENTRAL_NERVOUS_SYSTEM
ACH-000446,KP-N-SI9s,KPNSI9S,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,KPNSI9S_AUTONOMIC_GANGLIA
ACH-000448,NCI-H1666,NCIH1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1666_LUNG
ACH-000450,MEL-HO,MELHO,Skin,Melanoma,Melanoma,MELHO_SKIN
ACH-000452,TE-8,TE8,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE8_OESOPHAGUS
ACH-000454,HCC-95,HCC95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HCC95_LUNG
ACH-000455,LN-428,LN428,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LN428_CENTRAL_NERVOUS_SYSTEM
ACH-000456,B-CPAP,BCPAP,Thyroid,Poorly Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Cancer,BCPAP_THYROID
ACH-000458,CJM,CJM,Skin,Melanoma,Melanoma,CJM_SKIN
ACH-000459,TUHR10TKB,TUHR10TKB,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,TUHR10TKB_KIDNEY
ACH-000460,SNU-8,SNU8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SNU8_OVARY
ACH-000461,SNU-1196,SNU1196,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,SNU1196_BILIARY_TRACT
ACH-000463,NCI-H460,NCIH460,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH460_LUNG
ACH-000464,CAS-1,CAS1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",CAS1_CENTRAL_NERVOUS_SYSTEM
ACH-000466,SNU-216,SNU216,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,SNU216_STOMACH
ACH-000467,HCC-56,HCC56,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HCC56_LARGE_INTESTINE
ACH-000468,PK-45H,PK45H,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PK45H_PANCREAS
ACH-000469,YH-13,YH13,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",YH13_CENTRAL_NERVOUS_SYSTEM
ACH-000470,SW1463,SW1463,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SW1463_LARGE_INTESTINE
ACH-000471,Li-7,LI7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,LI7_LIVER
ACH-000472,HSC-2,HSC2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC2_UPPER_AERODIGESTIVE_TRACT
ACH-000473,RT-112,RT112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,RT112_URINARY_TRACT
ACH-000475,huH-1,HUH1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH1_LIVER
ACH-000476,JHH-4,JHH4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH4_LIVER
ACH-000477,Malme-3M,MALME3M,Skin,Melanoma,Melanoma,MALME3M_SKIN
ACH-000478,SNU-387,SNU387,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU387_LIVER
ACH-000479,KNS-81,KNS81,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",KNS81_CENTRAL_NERVOUS_SYSTEM
ACH-000480,HuH-7,HUH7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH7_LIVER
ACH-000481,NCI-H2170,NCIH2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH2170_LUNG
ACH-000483,SNU-182,SNU182,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU182_LIVER
ACH-000484,VMRC-RCW,VMRCRCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,VMRCRCW_KIDNEY
ACH-000485,GSU,GSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,GSU_STOMACH
ACH-000486,KU-19-19,KU1919,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,KU1919_URINARY_TRACT
ACH-000487,F-36P,F36P,Myeloid,Acute Myeloid Leukemia,"AML, NOS",F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000488,TE-11,TE11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE11_OESOPHAGUS
ACH-000489,SW1116,SW1116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW1116_LARGE_INTESTINE
ACH-000490,SF767,SF767,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SF767_CENTRAL_NERVOUS_SYSTEM
ACH-000491,NCI-H716,NCIH716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH716_LARGE_INTESTINE
ACH-000493,SNU-423,SNU423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU423_LIVER
ACH-000495,TUHR4TKB,TUHR4TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,TUHR4TKB_KIDNEY
ACH-000496,NCI-H1792,NCIH1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1792_LUNG
ACH-000498,KO52,KO52,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000499,EW8,EW8,Bone,Ewing Sarcoma,Ewing Sarcoma,EW8_BONE
ACH-000500,SNU-46,SNU46,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,SNU46_UPPER_AERODIGESTIVE_TRACT
ACH-000501,LS123,LS123,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS123_LARGE_INTESTINE
ACH-000502,TCC-PAN2,TCCPAN2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,TCCPAN2_PANCREAS
ACH-000503,BICR 16,BICR16,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR16_UPPER_AERODIGESTIVE_TRACT
ACH-000504,SNB75,SNB75,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SNB75_CENTRAL_NERVOUS_SYSTEM
ACH-000505,RKN,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,RKN_SOFT_TISSUE
ACH-000507,KE-39,KE39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,KE39_STOMACH
ACH-000510,NCI-H1299,NCIH1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1299_LUNG
ACH-000511,Calu-1,CALU1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,CALU1_LUNG
ACH-000512,INA6,INA6,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000514,NCI-H1092,NCIH1092,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1092_LUNG
ACH-000515,HCC-33,HCC33,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,HCC33_LUNG
ACH-000516,CAL-78,CAL78,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,CAL78_BONE
ACH-000517,SNU-410,SNU410,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SNU410_PANCREAS
ACH-000518,CAL-33,CAL33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL33_UPPER_AERODIGESTIVE_TRACT
ACH-000519,PEER,PEER,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000520,59M,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,59M_OVARY
ACH-000521,NCI-H2030,NCIH2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2030_LUNG
ACH-000522,UM-UC-3,UMUC3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC3_URINARY_TRACT
ACH-000524,KURAMOCHI,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,KURAMOCHI_OVARY
ACH-000525,NCI-H2171,NCIH2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2171_LUNG
ACH-000527,OVISE,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVISE_OVARY
ACH-000528,ABC-1,ABC1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ABC1_LUNG
ACH-000532,SNU-61,SNU61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU61_LARGE_INTESTINE
ACH-000533,NCI-H2004 RT,NCIH2004RT,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,NCIH2004RT_SOFT_TISSUE
ACH-000535,BxPC-3,BXPC3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,BXPC3_PANCREAS
ACH-000537,SNU-761,SNU761,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU761_LIVER
ACH-000541,KMS-34,KMS34,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000542,Hey-A8,HEYA8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HEYA8_OVARY
ACH-000544,OE21,OE21,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,OE21_OESOPHAGUS
ACH-000545,VM-CUB1,VMCUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,VMCUB1_URINARY_TRACT
ACH-000546,HSC-4,HSC4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC4_UPPER_AERODIGESTIVE_TRACT
ACH-000547,HT-1197,HT1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1197_URINARY_TRACT
ACH-000548,BHY,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BHY_UPPER_AERODIGESTIVE_TRACT
ACH-000549,SNU-1076,SNU1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,SNU1076_UPPER_AERODIGESTIVE_TRACT
ACH-000550,IGR-39,IGR39,Skin,Melanoma,Melanoma,IGR39_SKIN
ACH-000551,K-562,K562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000552,HT-29,HT29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,HT29_LARGE_INTESTINE
ACH-000554,UACC-893,UACC893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,UACC893_BREAST
ACH-000556,SIHA,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,SIHA_CERVIX
ACH-000557,AML-193,AML193,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000558,A-172,A172,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",A172_CENTRAL_NERVOUS_SYSTEM
ACH-000559,NCI-H1836,NCIH1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1836_LUNG
ACH-000561,T.T,TDOTT,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TT_OESOPHAGUS
ACH-000562,HCC-78,HCC78,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC78_LUNG
ACH-000563,EBC-1,EBC1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EBC1_LUNG
ACH-000565,RCM-1,RCM1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,RCM1_LARGE_INTESTINE
ACH-000567,ST486,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000569,IST-MES1,ISTMES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",ISTMES1_PLEURA
ACH-000570,YKG1,YKG1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",YKG1_CENTRAL_NERVOUS_SYSTEM
ACH-000571,T98G,T98G,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",T98G_CENTRAL_NERVOUS_SYSTEM
ACH-000573,MDA-MB-436,MDAMB436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",MDAMB436_BREAST
ACH-000576,KMS-27,KMS27,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000577,JHH-2,JHH2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH2_LIVER
ACH-000579,UACC-257,UACC257,Skin,Melanoma,Melanoma,UACC257_SKIN
ACH-000580,C32,C32,Skin,Melanoma,Melanoma,C32_SKIN
ACH-000581,SNU-16,SNU16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU16_STOMACH
ACH-000583,MC116,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000584,JHOS-4,JHOS4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,JHOS4_OVARY
ACH-000585,EPLC-272H,EPLC272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EPLC272H_LUNG
ACH-000587,NCI-H1975,NCIH1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1975_LUNG
ACH-000588,KMS-26,KMS26,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000589,NCI-H1437,NCIH1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1437_LUNG
ACH-000591,LN-235,LN235,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",LN235_CENTRAL_NERVOUS_SYSTEM
ACH-000592,TM-31,TM31,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",TM31_CENTRAL_NERVOUS_SYSTEM
ACH-000593,BC-3C,BC3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BC3C_URINARY_TRACT
ACH-000595,LN-229,LN229,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LN229_CENTRAL_NERVOUS_SYSTEM
ACH-000596,LCLC-97TM1,LCLC97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC97TM1_LUNG
ACH-000597,TTC-709,TTC709,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,TTC709_SOFT_TISSUE
ACH-000599,PA-TU-8902,PATU8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8902_PANCREAS
ACH-000601,MIA PaCa-2,MIAPACA2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,MIAPACA2_PANCREAS
ACH-000602,M-07e,M07E,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000604,KYO-1,KYO1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000605,TE-6,TE6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE6_OESOPHAGUS
ACH-000606,PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT
ACH-000607,KYM-1,KYM1,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,KYM1_SOFT_TISSUE
ACH-000608,COV644,COV644,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,COV644_OVARY
ACH-000609,SF126,SF126,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SF126_CENTRAL_NERVOUS_SYSTEM
ACH-000614,RVH-421,RVH421,Skin,Melanoma,Melanoma,RVH421_SKIN
ACH-000616,Hs 746T,HS746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HS746T_STOMACH
ACH-000618,SNU-1041,SNU1041,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,SNU1041_UPPER_AERODIGESTIVE_TRACT
ACH-000619,PE/CA-PJ15,PECAPJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ15_UPPER_AERODIGESTIVE_TRACT
ACH-000620,JHH-1,JHH1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH1_LIVER
ACH-000621,MDA-MB-157,MDAMB157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MDAMB157_BREAST
ACH-000622,KNS-42,KNS42,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",KNS42_CENTRAL_NERVOUS_SYSTEM
ACH-000623,SNU-201,SNU201,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",SNU201_CENTRAL_NERVOUS_SYSTEM
ACH-000624,HCC1806,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1806_BREAST
ACH-000627,LCLC-103H,LCLC103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC103H_LUNG
ACH-000630,YD-8,YD8,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,YD8_UPPER_AERODIGESTIVE_TRACT
ACH-000631,KS-1,KS1,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",KS1_CENTRAL_NERVOUS_SYSTEM
ACH-000632,Hs 944.T,HS944T,Skin,Melanoma,Cutaneous Melanoma,HS944T_SKIN
ACH-000633,FU97,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,FU97_STOMACH
ACH-000634,LN-340,LN340,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LN340_CENTRAL_NERVOUS_SYSTEM
ACH-000637,KYSE-520,KYSE520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE520_OESOPHAGUS
ACH-000638,NCI-H441,NCIH441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH441_LUNG
ACH-000639,NCI-H211,NCIH211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH211_LUNG
ACH-000645,JL-1,JL1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",JL1_PLEURA
ACH-000646,OVMANA,OVMANA,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVMANA_OVARY
ACH-000647,TE-1,TE1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE1_OESOPHAGUS
ACH-000648,NCI-H28,NCIH28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH28_PLEURA
ACH-000649,786-O,786O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,786O_KIDNEY
ACH-000651,SW 620,SW620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW620_LARGE_INTESTINE
ACH-000652,SUIT-2,SUIT2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SUIT2_PANCREAS
ACH-000653,JJN-3,JJN3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000654,Raji,RAJI,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000655,SF268,SF268,CNS/Brain,Adult-Type Diffuse Glioma,"Astrocytoma, IDH-Mutant",SF268_CENTRAL_NERVOUS_SYSTEM
ACH-000656,SU-DHL-8,SUDHL8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000657,A2780,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,A2780_OVARY
ACH-000660,SU-DHL-5,SUDHL5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000661,WM1799,WM1799,Skin,Melanoma,Melanoma,WM1799_SKIN
ACH-000662,COR-L23,CORL23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,CORL23_LUNG
ACH-000663,OVTOKO,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVTOKO_OVARY
ACH-000664,SU-DHL-1,SUDHL1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000665,SK-MES-1,SKMES1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,SKMES1_LUNG
ACH-000666,NCI-H1355,NCIH1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1355_LUNG
ACH-000667,HCC-44,HCC44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC44_LUNG
ACH-000668,HCC70,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC70_BREAST
ACH-000671,HuH-6,HUH6,Liver,Hepatoblastoma,Hepatoblastoma,HUH6_LIVER
ACH-000672,IA-LM,IALM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,IALM_LUNG
ACH-000673,LN-443,LN443,CNS/Brain,Adult-Type Diffuse Glioma,"Glioblastoma, IDH-Wildtype",LN443_CENTRAL_NERVOUS_SYSTEM
ACH-000676,LN-464,LN464,Skin,Melanoma,Melanoma,LN464_CENTRAL_NERVOUS_SYSTEM
ACH-000677,SW 1573,SW1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,SW1573_LUNG
ACH-000681,A549,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A549_LUNG
ACH-000682,SNU-1066,SNU1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,SNU1066_UPPER_AERODIGESTIVE_TRACT
ACH-000683,SNU-503,SNU503,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU503_LARGE_INTESTINE
ACH-000684,KMRC-1,KMRC1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC1_KIDNEY
ACH-000685,L3.3,L33,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,L33_PANCREAS
ACH-000688,OV7,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,OV7_OVARY
ACH-000693,KYSE-180,KYSE180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE180_OESOPHAGUS
ACH-000694,TE-9,TE9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE9_OESOPHAGUS
ACH-000695,COR-L47,CORL47,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL47_LUNG
ACH-000696,OVCAR-8,OVCAR8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR8_OVARY
ACH-000697,A3/KAW,A3KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000698,DMS 53,DMS53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS53_LUNG
ACH-000699,HCC1395,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1395_BREAST
ACH-000700,NCI-H2882,NCIH2882,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH2882_LUNG
ACH-000701,RMUG-S,RMUGS,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,RMUGS_OVARY
ACH-000702,L-1236,L1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000704,OAW42,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OAW42_OVARY
ACH-000706,EKVX,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,EKVX_LUNG
ACH-000709,KMRC-2,KMRC2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC2_KIDNEY
ACH-000711,JIMT-1,JIMT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,JIMT1_BREAST
ACH-000713,Caov-3,CAOV3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,CAOV3_OVARY
ACH-000714,KMS-11,KMS11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000716,TT2609-C02,TT2609C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,TT2609C02_THYROID
ACH-000717,COLO-680N,COLO680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,COLO680N_OESOPHAGUS
