cell_line_id,ABC_transporters,Amidoxime_reducing_complex,Amino_acid_metabolism,Apoptosis,Autophagy,Biotin_utilizing_proteins,Branched-chain_amino_acid_dehydrogenase_complex,Branched-chain_amino_acid_metabolism,CIII_assembly_factors,CIII_subunits,CII_assembly_factors,CII_subunits,CIV_assembly_factors,CIV_subunits,CI_assembly_factors,CI_subunits,CV_assembly_factors,CV_subunits,Calcium_cycle,Calcium_homeostasis,Calcium_uniporter,Carbohydrate_metabolism,Cardiolipin_synthesis,Carnitine_shuttle,Carnitine_synthesis_and_transport,Catechol_metabolism,Chaperones,Cholesterol_bile_acid_steroid_synthesis,Choline_and_betaine_metabolism,Coenzyme_A_metabolism,Coenzyme_Q_metabolism,Complex_I,Complex_II,Complex_III,Complex_IV,Complex_V,Copper_metabolism,Creatine_metabolism,Cristae_formation,Cytochromes,Detoxification,EF_hand_proteins,Electron_carriers,Fatty_acid_oxidation,Fe-S-containing_proteins,Fe-S_cluster_biosynthesis,Fission,Folate_and_1-C_metabolism,Fusion,GABA_metabolism,Gluconeogenesis,Glutamate_metabolism,Glycine_cleavage_system,Glycine_metabolism,Glyoxylate_metabolism,Heme-containing_proteins,Heme_synthesis_and_processing,Immune_response,Import_motor,Intramitochondrial_membrane_interactions,Iron_homeostasis,Itaconate_metabolism,Ketone_metabolism,Kynurenine_metabolism,Lipid_metabolism,Lipoate_insertion,Lysine_metabolism,MIA40,MICOS_complex,Malate-aspartate_shuttle,Metabolism,Metals_and_cofactors,Mitochondrial_central_dogma,Mitochondrial_dynamics_and_surveillance,Mitochondrial_permeability_transition_pore,Mitochondrial_ribosome,Mitochondrial_ribosome_assembly,Mitophagy,Molybdenum_cofactor_synthesis_and_proteins,NAD_biosynthesis_and_metabolism,Nucleotide_import,Nucleotide_metabolism,Nucleotide_synthesis_and_processing,OXPHOS,OXPHOS_assembly_factors,OXPHOS_subunits,Organelle_contact_sites,Phospholipid_metabolism,Polycistronic_mtRNA_processing,Preprotein_cleavage,Proline_metabolism,Propanoate_metabolism,Proteases,Protein_homeostasis,Protein_import_and_sorting,Protein_import_sorting_and_homeostasis,Pyruvate_metabolism,Q-linked_reactions_other,ROS_and_glutathione_metabolism,Respirasome_assembly,SAM,SLC25A_family,Selenoproteins,Serine_metabolism,Sideroflexins,Signaling,Small_molecule_transport,Sulfur_metabolism,TCA-associated,TCA_cycle,TIM22_carrier_pathway,TIM23_presequence_pathway,TOM,Tetrahydrobiopterin_synthesis,Trafficking,Transcription,Translation,Translation_factors,Type_II_fatty_acid_synthesis,Urea_cycle,Vitamin_A_metabolism,Vitamin_B12_metabolism,Vitamin_B2_metabolism,Vitamin_D_metabolism,Vitamin_metabolism,Xenobiotic_metabolism,cAMP-PKA_signaling,fMet_processing,mt-mRNA_modifications,mt-rRNA_modifications,mt-tRNA_modifications,mt-tRNA_synthetases,mtDNA_maintenance,mtDNA_nucleoid,mtDNA_repair,mtDNA_replication,mtDNA_stability_and_decay,mtRNA_granules,mtRNA_metabolism,mtRNA_stability_and_decay
ACH-000001,3.05540869575,4.847667425,3.7963129128888866,4.352322122285713,5.07663266,3.3608737,3.701203666666667,4.519805028,4.939244516666666,7.846462389999999,4.9959203,6.673248425000001,5.6238773166666665,7.159489631428574,4.99530740909091,8.213969899999999,4.85199318,8.5974318,4.993509066666666,5.304671941666666,4.56611075,4.234071329611111,4.263161844,4.43934204,4.26608345,3.0870107000000004,5.79692304,3.1283720807142856,3.7527661042857146,3.47687366,4.312260038461539,7.141082403030302,5.8345843625,6.7562556874999995,6.256188269803918,7.817132087500002,6.0029053,2.910068,6.10185795,8.400421075,4.5112680796,4.695946472727272,4.6005334866666665,3.851165895613636,4.880498974193549,4.879686904347826,4.838399793333333,4.11183269,5.191605511111111,3.514746957142857,4.424684011111111,4.216462137500001,4.8159803,4.104717408666667,3.2848323875,5.106473126153846,3.800561394625,3.2389893200000004,4.58038635,5.697798088888889,4.80646896,3.535698516666667,3.79518935375,3.6099717766666664,4.076977710140497,3.6323077,5.0546462375,5.2665343,5.4701784571428576,5.5974208166666655,4.251370067533917,4.480652370360657,5.253037840611355,4.958661056893203,6.227203085714286,6.0956008207317085,4.797418120833332,5.376717598571429,3.9864957,3.220181066428571,4.687996915,4.81694712875,5.102551291666667,6.872354626107785,5.320779411764705,7.926535091600003,5.400251264285714,4.453096554782607,5.3231392,5.457147362500001,4.4871217833333334,3.4977353,4.748922264285713,5.084358196,5.6375987233333325,5.364591800235294,3.66368008125,3.218756181818181,5.615505787692308,7.329076075,5.903150233333334,3.9679400839215693,5.80489174,4.39199446,4.33809588,4.617747817812502,4.1691439881882335,3.6350077618181817,3.910963786666666,5.896810889473684,3.9824731,7.061466133333334,6.471078577777777,4.3238954000000005,4.2036418285714285,5.252349025,5.498748081045749,5.243776733333333,4.383816400000001,1.9872946428571432,3.2466562879999996,4.38187885,5.390679433333333,2.3827538500000003,4.006441423061225,3.378053691304348,2.603546659166667,3.357121,4.638271700000001,4.443030555555556,4.589451477272727,4.426990663636364,5.009922151612903,5.320371236363636,4.873039577777778,5.012998264285714,4.298154333333334,4.822883374999999,4.898900290789472,5.347709552941176
ACH-000004,3.3988252667500003,3.21349774,3.864307346377779,4.244241697542857,4.940021005555555,4.526729919999999,4.596019016666667,5.039228735999999,5.2648586,8.02659959,4.5210341750000005,6.992183675,5.156729246666667,6.662920374761905,5.42291675,7.787158447727271,4.6217029599999995,8.92256365789474,4.819269854222223,4.901991097124999,4.1317037480000005,4.4363767073750004,4.3641891274,3.6884843099999998,3.6304820916666665,3.479025813333333,6.092677826666667,4.057281752142857,3.582703173428571,3.7900158200000007,4.20031053076923,6.999077881818181,5.756608925,6.990946718749999,5.776925593529411,8.026551012500002,5.764703157142857,0.62166388475,5.987044449999999,8.0384135,4.1878757126,3.717195884636364,4.417543907600001,4.178740756409091,5.132162438709678,4.807005069565217,4.54386852,4.134358922095238,5.054681933333333,3.65240288,4.332426644444444,3.94102147875,3.635327725,3.8579738529333327,3.2685470824999996,5.392010325384616,4.66972109375,3.3089195000000005,5.6628911833333335,5.283066622222222,5.276753139999999,4.161186516666667,4.413729925,3.41245635,4.377790965148761,3.75959135,5.043549351875,4.948682366666667,5.134731071428571,4.971043333333333,4.341003753194748,4.567140531336066,5.274260721834062,4.782573985048543,6.419996742857143,6.010160324390242,4.843849270833334,5.078524399999999,1.977175458,3.273959718071428,4.215388459000001,4.671838285725,5.526619054166667,6.70687655251497,5.218343416176468,7.722169379700002,5.197288221428572,4.798106609173913,4.911107261538461,5.1989471875,5.30386485,4.68384945,4.7761792214285705,5.13554735182,5.65405588125,5.421530465776469,3.77259916625,3.1008640558181813,5.414331693076923,7.1604019,5.590239666666666,3.76915890054902,5.790979439999999,4.05036372,3.7173818600000006,4.303880532520833,4.036655477058824,3.7981640999999997,4.14360902,5.928537195736842,4.186786033333333,6.427405583333333,6.583818011111111,4.054570166666667,4.2253467780000005,5.1572867250000005,5.465101815686275,5.230510526666667,4.586943077777778,1.9278899300000003,3.0259630799999995,4.070170275,4.991173066666667,2.7102583,4.267396076816328,2.9326651830434782,2.497035491666667,3.635303033333333,4.4708034,4.927599166666668,4.876868054545455,4.617314427272728,4.96449264516129,5.295190563636364,5.215662744444444,5.140470121428572,3.796112566666667,4.8223475607142845,4.974496539473684,5.261303641176469
ACH-000005,3.7009495543749997,3.35636113,3.958854068255556,4.3617430054,4.976635905555556,4.60723406,4.774992516666667,5.227043220000001,5.2962732,7.980943599999999,4.3706843,7.4166430750000005,5.356390056666667,6.53255518447619,5.560743068181819,7.734144290909091,5.0055785,8.792002310526316,4.875708547,5.073125137958333,4.195919303833333,4.651746536555556,4.623404887199999,3.9647737659999995,3.8880794216666668,3.43402996,6.331089013333332,3.7493013985714287,3.534190771428572,4.039350099999999,4.394514830769231,7.009677216666669,5.8936636875,6.974192199999999,5.840693344588234,8.003164016666668,5.854487300000001,1.2760230524999998,6.072748540000001,8.445274000000001,4.365386830299999,3.961353473727272,4.675868127333334,4.262949398704546,5.322689806451612,5.127761834782609,4.862219386666666,3.9996585942857132,5.3511258999999995,3.8619770648571428,4.53602901111111,3.9974249825,3.744684925,3.8264445570000003,3.3292370325,5.3785245793846155,4.83125635625,3.307501448,5.543887066666667,5.417802822222222,5.106511620000001,4.194416666666667,4.641087655,3.792646828666667,4.4658436787685964,4.3245183,5.228423306250001,5.287446533333333,5.245404057142857,5.428445833333334,4.479404137785558,4.711673005639343,5.543080248471617,4.947697730766988,6.556299071428571,6.256779381707318,5.114663591666666,5.102144078571429,1.976856862,3.4550150868571436,4.433995907,4.888507443249999,5.68176598125,6.733732192059879,5.359764973529413,7.664614635740004,5.341691907142858,4.910124209043477,5.359913099999999,5.0607676875,5.244566815,4.695338550000001,4.93767717142857,5.2894066020000015,5.771594097916668,5.577517431764708,4.09427308125,3.305175082727273,5.654418324230769,7.160609125,5.808129433333334,4.018398606529412,5.72084234,3.7927409599999997,4.0897396,4.408538877729168,4.2834903598941185,4.197991463636364,4.313411113333333,6.193693401052631,4.514972866666667,6.626492333333332,6.8661645,4.433235333333333,4.444073497142857,5.437768387499999,5.73545666732026,5.498291026666667,4.6875121,2.1129484082857144,3.0044103,4.60479915,5.477063033333333,2.4923970630000003,4.292170767999999,3.0445797732608697,2.640726305,3.6993641999999998,4.869353974999999,5.233076461111112,5.179250863636363,4.989966490909092,5.166597229032258,5.4904877545454545,5.501024933333333,5.380396785714285,4.020950166666666,5.2432160535714285,5.2852442026315805,5.525808729411765
ACH-000007,3.0168326175000004,4.4604677624999995,3.829895065700001,4.471881403428573,4.639080795555555,3.86818308,4.116807349999999,4.8859726519999995,4.884108966666667,8.244838859999998,4.84833155,7.434190900000001,5.294068586666667,6.9216861114285715,4.935895777272727,7.910272668181819,4.7535074999999996,8.767289863157897,4.622017966666667,4.922910754375001,3.9689934500000006,4.725103958708334,3.934668614933334,3.3647240619999996,3.3027686183333334,4.258746566666666,5.5312786733333335,3.625381834714286,4.212543926,3.7006696000000003,4.324260330769231,6.918813704545456,6.141261225000001,6.984565149999999,5.9642640380392145,7.931085204166668,5.631029257142856,4.855976595,5.95572556,9.40555965,4.711170685479998,4.025271445909092,5.494291726666666,4.166174512181819,5.152300419354839,4.877359665217392,4.542831706666666,3.991694492,4.623321955555555,3.1706597384285713,4.689119155555556,4.215670490249999,3.550044905,3.9899750306666664,3.10922049875,5.303426336153847,4.184621410625,4.42518738,5.1048735333333335,5.056203866666667,4.574842800000001,4.640971266666667,4.1259104675,3.958739,4.298084335925619,3.6514689249999996,5.30469241625,4.825581433333333,5.306084028571428,5.641493100000001,4.3550649497221015,4.510052515704918,5.115909523144103,4.681091590543687,6.195017585714285,5.879563579268293,4.838908191666667,4.75957685142857,2.416335966,3.297868902571428,4.290235579,4.749214101249999,4.867190974166666,6.753365079281437,5.135330719117648,7.847699960399998,4.934387742857143,4.257849518434782,5.246034207692308,5.81201005,4.909281466666667,5.1232643499999995,4.598056196428572,4.822992076,5.528052967708334,5.144923212352942,4.00622661875,4.072012481818182,5.553669657692309,6.961560049999999,5.382511999999999,3.692686421039216,5.290954699999999,4.514693352,4.8424597,4.5000352448125005,3.9903004213294127,5.040602481818182,4.367520473333333,6.518921394052632,3.5461185333333334,6.177939966666667,6.543639977777777,4.843869466666667,3.288858026571429,4.7282680375,5.399605773202615,5.4232088733333335,4.6353299888888895,1.8166823094285713,3.096292208,4.614688800000001,4.957480433333333,2.50902255,4.146482562693878,3.9071738814782613,2.2523457243333334,3.4585221999999995,4.350051925,4.709793183333333,4.492002731818181,4.523005831818181,4.421322803225808,4.676893336363635,4.475943266666667,4.620733557142857,3.878803,4.75068945,4.831204290789475,5.283031417647059
ACH-000009,3.364325029375,6.398900375,4.2785803987555555,4.401933850000002,4.931538183333333,3.61748682,4.565283033333333,5.24411958,5.128427116666667,7.933567340000001,4.60942965,7.5509038,5.43351007,6.716079738095237,5.212188336363637,8.012311059090912,4.757103160000001,8.576402621052631,4.882550088888889,5.181313870833333,4.201388649999999,4.780504634319442,4.453256751,2.6339422142,2.7989920785,2.5734281866666664,6.586002046666667,3.569456616928572,4.220562024285714,4.011242219999999,4.283909515384615,7.078936818181821,6.080166725,6.881639756249999,5.961626992156862,7.780715233333333,5.863517228571429,1.3206717099999998,6.14684197,9.217702,4.94718109148,4.253385627272727,5.4126340966666655,3.934213143090909,5.359378568709677,5.135552760869565,4.6710942866666665,4.364212375238095,4.9131387,4.587373702000001,4.891760121444444,4.982572137500001,5.7098508175,4.6261050236,3.4737821080000004,5.7503182559230765,4.588463849937501,2.5959535540000003,5.2911508,5.319462333333333,4.7300099,3.8821524833333334,4.8321853,3.53545561,4.41806077494215,4.3880706,5.767228587500001,5.114059699999999,5.438993171428572,5.7109579833333335,4.546631912748357,4.7585260234180335,5.50233350567686,4.865731820873787,6.5030379285714295,6.300601306097561,5.119811779166667,5.082556385714286,4.73494252,3.423290487857142,4.766100310000001,4.6753664957500005,5.179878049583333,6.789743307185628,5.309395986764705,7.795898338,5.244451885714286,4.820944276739132,5.468028169230769,5.5178028625,5.7719608833333345,4.1271319250000005,4.814637275,5.441515217999998,5.864592128333334,5.682388313647058,4.1753247219375,4.028973040909091,5.995937261538462,7.76559675,5.813001133333334,3.8854707596274505,6.298020580000001,4.654108968,5.108871339999999,4.432369316895834,4.234999958458823,4.079095154545454,4.431770359533333,6.500399405263158,4.629582433333333,6.747759200000001,7.076179222222223,5.012014033333333,3.8746754,5.310309612499999,5.727869294771242,5.542260753333333,4.439652277777777,1.9129057380000003,2.94922724,4.228882425,4.706446466666667,3.04375075,4.257118015918368,3.887852746695652,2.700988140166666,3.500647466666667,4.886089849999999,4.944691377777777,4.817405763636365,4.886029436363635,5.0237299387096765,5.57111799090909,4.848852444444445,5.340629528571427,4.3392246666666665,5.2729189214285705,5.228655326315788,5.92495131764706
ACH-000011,3.1231813925000003,3.1335707200000003,3.7626454809888887,4.028107407142857,5.05759351111111,3.07293548,4.148025400000001,4.725627636000001,4.529868933333333,7.9994646299999985,4.1657063,6.71035775,5.127198559999999,6.881365958571427,4.780240522727273,8.002825872727271,4.035693,8.572209663157896,4.445205004444444,4.738827689166667,3.6305250899999995,4.210194099611111,3.955236292,2.6473448680000002,2.8495880233333337,2.6297606476666666,5.827887346666666,3.2381063333571425,4.049811861428571,3.8803167800000002,4.150339361538461,6.928630756060603,5.438032025,6.69836624375,5.849502782941177,7.627102025,5.404016328571429,0.2268535325,6.053393890000001,8.464040475000001,4.8174734872,3.9396804090909088,4.830274453333334,3.7739486918409084,4.938916840645162,4.8170970913043485,4.630817359999999,3.519071283238095,4.638059700000001,3.913717657142857,4.309482855555554,3.9099139668749996,3.9220581875,3.985185094466667,4.05798406975,5.247996277307692,3.9706713575,3.12300268,4.28173261,4.63188841111111,4.68997848,3.848565033333333,3.424651671625,3.3035373766666667,3.9580057177355377,3.3177982075,4.95050571975,4.930267566666667,5.531985785714285,4.947542333333333,4.160834923155358,4.272985464877047,4.806324165065503,4.671488237378641,5.982972214285716,5.682271475609755,4.560935770833333,5.248545528571427,1.9431310959999997,3.240058037857143,4.1220701559999995,4.327742403675001,5.019512477375,6.621629031916167,4.8814082044117635,7.803910184300004,4.819752464285713,4.017149590434784,4.703885884615385,5.3904691375,4.99075735,4.146963599999999,4.428764778571429,4.832501410660001,5.303378672083334,5.068109691682354,3.8609397437499995,3.5089049909090906,5.969635261538461,6.68321075,5.6199859000000005,3.4585588240784313,6.8718394599999995,4.6023551,4.0319682,4.239750681583334,3.7430042871529414,4.773194872727273,3.9071875933333327,6.078513847368422,3.9889500333333334,6.555108883333332,6.059922144444445,2.950075593333333,4.5241188857142856,4.353032,5.105615469281048,5.112923879999999,4.234001211111111,1.5241772457142857,5.30161792,4.081114425,4.149710333333333,3.586861875,4.01850562955102,3.598639733043479,2.564663379333333,2.564651833333333,4.1499763,4.4782204611111105,4.121784972727272,4.081226809090908,4.146260787096774,4.598298190909092,4.1609371333333325,4.510232728571428,3.4476833,4.322990685714286,4.485565755263158,4.779672558823529
ACH-000012,3.01076281275,4.909898475,3.6371058938888883,4.510603797600002,4.864909109277778,3.29360164,4.201728666666667,4.752515772000001,5.11231925,7.75030325,4.35861125,6.8836738749999995,5.310568390000001,6.754097419047619,5.264574740909091,7.741262684090909,4.97531764,8.48692249473684,4.864845411111111,5.05207726375,4.1824556,4.233909491763891,4.296714069333333,2.25317864,2.5102593666666664,2.2381157199999997,6.375154093333332,3.1684348121428565,3.565371628571429,3.62940174,4.217416492307692,6.915700036363638,5.6211425625,6.76105925,5.904962696078429,7.7553381499999965,6.096906571428572,0.683347785,5.894831569999999,8.6205671,4.4491528561,4.100570602727273,5.032973209333332,3.4532800990909083,4.930900061290322,4.9348251521739135,4.846411146666667,3.927013673333333,4.802210111111111,3.08028799,4.054253622222222,4.569884771249999,3.999659175,3.7105109733333332,3.46633528875,5.200062558461538,3.742723523875,4.24729464,4.510762914,5.147270677777777,4.6493141399999995,3.3380308833333334,3.421919810875,3.729869516666666,3.877204588603305,4.0647662250000005,4.7316449875,4.812623299999999,5.1107229571428565,5.83105335,4.0991584051969365,4.2968771830327865,5.253766286899559,4.870967966825243,6.290984,6.10231852317073,4.957507279166667,5.1283974762142845,3.181576326,2.806541082714286,4.4097364692,4.414099599549998,4.9594501104166655,6.657444665269458,5.23931148235294,7.622314082999999,5.151894028571428,4.325801358260869,5.251127476923077,5.1156939875,4.937903033333333,3.4191282000000003,4.432391610714285,5.0280695822000006,5.548250806541667,5.272255261458821,3.757363775000001,3.7283936127272734,5.463390627307692,7.085343399999999,5.2157791,3.673966999,6.11851864,4.55948304,4.327563660000001,4.6028049837083325,3.9203046862470594,4.2272105363636365,4.1585401200000005,5.919025036842105,4.625702666666666,6.647229866666666,6.579871155555555,4.256188600000001,4.1371696714285715,4.715725687499999,5.539336618954247,5.323889953333333,4.454397522222222,1.848900332857143,3.220168728,4.25768985,4.571541133333333,2.5902190624999997,3.95911154755102,3.511127038913044,2.5972864980000003,2.957618633333334,4.242313125,4.8528225222222225,4.7993574,4.632260827272727,4.574983364516128,4.945829845454546,4.411461411111111,4.619216242857142,3.8434295666666665,4.795008825000001,4.956989822368423,5.421481476470588
ACH-000013,2.8689956615,4.651709375,3.691118065255556,4.035377374971429,4.7888385444444435,3.5706135000000003,3.641295083333334,4.326018812,4.598337933333333,7.894985409999999,4.84916835,6.31124765,5.172440846666668,7.177599876190476,4.746574022727272,8.056142820454545,4.3286270600000005,8.68341394736842,5.206263877777778,5.300827908333335,4.798921216666667,4.094699151291667,4.026807224666666,3.7302385399999998,3.6332137166666665,2.985558036666667,5.741954746666666,2.837193718571428,3.8734775142857143,3.3301619799999997,3.8924961923076924,6.9529532212121214,5.580208,6.65874260625,5.998094564705879,7.776166679166667,5.673774285714286,1.8474669749999997,6.00198912,8.533622275,4.339016028960001,4.652271972727273,4.607823833333334,3.6253904689772725,4.539442287096773,4.288238282608695,4.445102573333332,4.094805188095238,4.793087699999999,3.4598378399999996,4.363673755555555,4.2943376749999995,4.491852825,4.0716876422,3.096172675,4.868175047692308,3.4103899013124996,2.9938376000000004,4.571077066666667,5.241547144444444,4.57300942,3.2906967666666667,3.53192743125,3.540468496666667,3.862280461115703,3.4939864500000004,4.91585216875,4.915792000000001,5.331549571428572,5.444207066666667,4.022456104183805,4.117579401852458,4.8426204759825335,4.6289098768349515,6.118300657142856,5.724634062195122,4.394590595833335,5.121638178571429,3.48022476,3.014795784642857,4.475732695,4.51631550375,4.92877515,6.687740427544913,4.9661834205882345,7.861957421999998,5.068218092857143,4.180231276956521,4.753868653846154,5.3269926,4.53719725,3.542598075,4.402654571428571,4.778469297399999,5.332551080416666,5.051460443882354,3.525758196875,3.1802607636363636,5.4248750101923084,6.977127375,5.543192133333334,3.7981531788431386,5.54710824,4.42301318,4.05970484,4.4749492924166665,4.01857060935294,3.4478464695454547,3.89566528,5.6879188,3.585733133333333,6.587119316666667,6.029960011111111,4.044126433333333,3.6391075985714285,4.789938575,5.080446574509804,4.736773693333332,3.8729932444444444,1.63791188,2.6811318999999996,4.05406615,4.540577233333333,1.898797525,3.803633723469388,3.2395303166521736,2.2774288393333335,2.8417962333333335,4.134836174999999,4.1298526055555556,4.158157150000001,3.9929165227272723,4.633346296774193,4.984833054545455,4.465848922222222,4.807711942857144,3.6970118333333333,4.3728469357142865,4.475211656578947,4.989828682352942
ACH-000014,3.297467674,4.114668245,3.8269183567000002,4.5129405575714285,5.358464261111112,3.7490647800000003,3.99330054,4.7033292416,4.7793819,8.130268959999999,4.54076235,7.082159075,5.486637376666668,6.896743003095238,5.189785009090909,8.040128636363635,4.6728574599999995,8.664777515789474,4.731931388888889,4.897450172625,4.193946883333333,4.501603542416667,4.3320719796,4.20971446,4.107848716666667,4.275429766666666,6.312874160000001,3.662412762142857,3.558157061428571,4.086636540000001,4.320256646153846,7.090014093939392,5.811460712499999,6.8736863125,6.06726910519608,7.833127504166668,5.968897342857143,1.3728421325,6.11440963,8.80193865,4.827573365079999,4.130018677272727,4.961013555999999,3.9388646912727268,5.06651351935484,4.791223452173913,4.774040433333335,3.835164104761905,5.017500433333333,3.4623059,4.7860376,3.87144323125,4.85333715,4.121170268666667,3.3202698,5.464510529230769,3.9253381187500005,3.2635027400000007,4.919000766666667,5.373165122222222,5.0685496400000005,3.4528610833333335,4.1384970455,3.5756843266666665,4.259648376776858,3.5276499499999994,5.198319581250001,4.817929533333333,5.514717785714287,5.750221150000001,4.331258744288839,4.53263057762295,5.170216704803492,5.031401945388349,5.92942557042857,5.96338281707317,4.8767691875,5.501711035714286,2.900020796,3.1840447149999997,4.2167038583,4.569536592825001,5.207954533333333,6.813248189610775,5.263569292647058,7.86535656565,5.2097454785714294,4.781517204086955,5.241066099999999,5.5849146874999995,5.07421885,3.9164034500000007,4.6829208499999995,5.307911950000001,5.784686142083335,5.535492908470588,4.304113168750001,3.5643135218181814,6.045919507692307,7.1930889,5.801153333333333,3.8778944199803935,7.041496939999999,4.1764389799999995,4.073670959999999,4.396851294333335,4.066478045129412,4.096270609090909,4.272068140000001,5.998762198421054,4.932070433333333,6.8617865,6.834473655555556,4.425086666666666,4.588017122857143,4.995142350000001,5.409402995424835,5.362332253333333,4.429084,2.2510788004285716,3.38122056,4.645380375,4.7500111333333335,2.439058225,4.019468295918367,3.4056872936521736,2.3777368808333335,3.385971,4.5927647,4.702125061111111,4.503881240909092,4.338775568181818,4.694701151612903,5.23033039090909,4.883551144444445,4.813206064285715,3.837279066666667,4.661678053571429,4.8397988052631575,5.263297511764705
ACH-000015,3.628688824375,5.342048300000001,3.9206166652111114,3.9958698477714285,5.107677338888888,4.55317112,3.9892711000000003,4.853355872,4.794064666666666,8.0446917,5.09177035,7.477950249999999,5.637758683333333,7.087910074999999,5.325249972727272,8.113339213636364,5.02729392,9.056448278947371,5.007872700000001,5.3097793666666675,4.5046634,4.605744609194444,4.572867366666667,4.5828001800000004,4.46780485,2.0310199313333333,6.29888496,3.625766529285714,3.8874310885714287,3.85359726,4.534566938461539,7.183976133333331,6.2848603,6.8257065625,6.234879844607843,8.217041120833336,5.640224214285714,3.3006140250000002,6.37197157,9.1547905,4.84531195228,4.7170407090909094,4.870948079666666,4.172302025409092,5.376732011290323,5.184347608695653,4.434228646666666,4.044631818571428,4.838635688888888,4.029035221428571,4.662650966666667,4.4637269875,4.8791693249999994,4.156611254666667,3.3040223331250003,5.352469319230769,4.0317550958125,3.40958276,5.126346116666666,5.247216822222222,4.8575181,3.68807305,4.0096552965,3.426291126666667,4.396113722380166,4.317837075,5.34154283125,4.664180933333333,5.798734671428572,6.044853383333334,4.450433172792118,4.668873259319673,5.4270697572052375,4.750145430407768,6.308539471428572,6.277182867073171,5.145911283333333,5.4975086428571425,3.84035966,3.323212064571429,4.32231527,4.924437577999999,5.403810205,6.965349146556887,5.427367767647056,8.009016052750006,4.885669292857143,4.705907469565218,5.1474717846153855,5.323057937500001,5.226340821666667,4.719835075000001,4.815412296428571,5.173245065399999,5.759571916666666,5.463258672588234,3.995711,3.3131871995454545,6.037748903846152,7.19562085,5.852658000000001,3.98671917854902,6.32295474,3.79124288,4.57103036,4.569949055208333,4.297631923541177,4.183229036363636,4.159885823333334,6.3496479210526315,4.2159615666666665,6.902123216666666,6.860914055555555,4.6818369,4.28267178,5.316990425,5.649403890849673,5.149819673333332,4.629980655555555,2.1046442185714285,2.963892244,4.19000855,4.6668127,2.361035985,4.168134929591837,3.311486135391304,2.3616636583333332,3.7762035,4.257092075,5.077828127777778,4.93949279090909,4.506308863636364,5.134903929032259,5.474307890909091,5.395316677777778,5.148963185714286,4.3177402,4.9763038321428565,5.129407003947367,5.468049864705883
