,RES_00,RES_01,RES_02,RES_03,RES_04,RES_05,RES_06,RES_07,RES_08,RES_09,RES_10,RES_11,RES_12,RES_13
ACH-000001,0.07593138889596295,-0.7656918977970075,1.1169046698702836,-1.8051409301306438,-1.6157871031954063,-0.5130808924277176,-0.0076958645280918465,1.207621247740276,-0.036288108699855263,1.023354316375886,-1.403303631420883,0.8122178014999129,0.2921454225191886,-0.2544825195929189
ACH-000004,-0.32442798561590674,0.1511916189534914,-1.2214126379128527,-1.3095418325369654,1.7028481400008513,0.1913573733518657,0.01869086043604089,1.0420933076148031,0.9060445351159987,-1.0196494644127572,-1.4909869838078214,-0.10021273153199595,-1.3095418325369654,-0.9379976573047194
ACH-000005,-1.5919163168159876,-0.6403734728270288,-1.6077281211835148,-1.1895825028281073,0.8369305999126725,-0.09800310908566968,1.0926183477238136,1.959963984540054,1.0689599435351733,-0.9345892910734802,-1.314742400923604,0.42229868545116184,-0.8814576331714923,-0.9709384144355823
ACH-000007,-0.5485222826980979,1.6157871031954063,1.0086179513174214,2.0238804284732894,0.569085312037926,0.8030777025132917,-0.08254853290411272,0.42711132363530335,-1.096621196738911,-0.31863936396437514,0.8061169161858519,-1.6491212011468943,-1.023354316375886,-0.5055709279090783
ACH-000009,-1.3095418325369654,-0.5181036339972976,-2.3570442297684564,1.511340366291671,-0.4079187409450348,0.6056655839920606,1.314742400923604,1.4647744820388247,2.0412290029455087,-0.7179193476929423,-0.2635778047071419,-0.7065847616387614,-2.0412290029455087,-0.6841829470557181
ACH-000011,0.7730822853732383,-0.6897508578180003,0.997707835414134,-0.198080020895514,0.029688116413677534,0.3232693974936587,-0.9043884250002665,-0.8589812200347285,-0.49933435048938235,-0.021989739377545343,1.1482213614577501,0.24087871066839917,-0.09358528838052131,0.11569440979028714
ACH-000012,-0.10684457930145627,-0.712240616658132,0.03408794983083929,0.3865048558827439,-1.1546211199864427,-2.0238804284732894,1.8164703928646646,1.1251480193965842,0.33487511031897577,0.007695864528091708,-0.561346418336008,-0.17012443063505017,-0.720767407181645,0.5872772110380802
ACH-000013,0.4367664924616712,-0.41749580855344076,1.3916279593891947,-0.9110278462898451,-0.7322187075540352,-0.8214262635717874,-1.471233167953552,-0.29329294516847637,-0.41030946828115844,2.160916962144917,-0.14896791903016532,0.45376219016987956,0.0032982010778990064,1.2121927750612842
ACH-000014,0.3948108917411486,-0.08475503672812068,0.1578672520464748,0.20930451635983457,0.012093676817781056,-0.6841829470557181,-0.7671666205857572,0.4367664924616712,0.8384920942496082,0.2749777489690046,0.12455331087314676,1.1503493803760079,0.530718253370961,-1.3018067488856788
ACH-000015,-0.2567543386616585,-0.9010836231413344,1.249715457232992,1.2307375139697694,0.03848844324292296,-0.4881570607827635,0.8091635941232459,1.6239524138818737,0.35822433329829123,-0.09137706817013944,-0.5872772110380803,-1.1503493803760079,-0.994097425556237,-0.7150770996971557
ACH-000017,0.9709384144355823,1.2941487795873434,0.49808936995031894,2.184202539375764,-0.39124785972875387,-0.6083091460850765,0.4832089679002755,-0.6758705974557163,0.19808002089551385,0.21380162923518106,0.2795476683299405,-0.5639222930439726,-0.7820068867537173,0.02528885764264936
ACH-000018,-0.12233769620313222,-0.47704042848944356,-1.6935497311286343,1.35769210342973,-1.1873547534130022,-0.7760502810871098,0.1913573733518657,0.17570422511146458,0.7909942130952894,1.4712331679535513,-0.49808936995031894,1.4551995151744364,-0.10021273153199595,1.4843379083716661
ACH-000019,0.5281886287114783,0.08034243090807264,1.3688293262216265,0.9278049190833458,-0.8945033623459216,-0.03848844324292296,0.0032982010778990064,-0.5206199068695524,-0.561346418336008,0.8152796042560035,-0.18017199439426004,-0.16454992784911948,-0.2704135651114682,-0.7065847616387614
ACH-000021,0.16900911261324064,2.05921460987167,2.160916962144917,-2.208736379719948,-1.2691545015397274,-1.1251480193965842,1.640615800581922,-0.4881570607827635,-1.3521860990673606,-0.8091635941232459,-0.997707835414134,-0.5080710616447608,-0.470889987812555,-1.207621247740275
ACH-000022,-0.13786023618425697,0.1578672520464748,0.5105743752088904,1.5764927829578514,1.4395314709384563,1.741597224503634,-0.9727013494446405,-0.6953402346145302,-1.0650747484714613,-0.4956017206389103,0.6621193482292987,-1.8769400144253812,-1.203074819956593,0.7051743295571965
ACH-000023,-0.6376766160079513,1.180706601148497,-1.1169046698702836,1.3974419828247846,-2.077892100777044,0.4708899878125548,0.553640999069927,0.997707835414134,0.8558056976363998,-0.4856815279341637,-1.0886329293768875,0.11348112962967796,-1.7122961530786696,-0.41030946828115844
ACH-000024,0.182407222834474,1.0122814351089962,0.6539284638491971,-0.7150770996971557,0.7805151403568917,0.33487511031897577,-0.41989603625014454,-0.3001862564390561,1.4647744820388247,0.530718253370961,-0.8463304581395933,-1.1763033333991566,-1.2307375139697694,-0.009894746751426072
ACH-000025,0.15341606674775615,0.93458929107348,-0.613609076561029,0.4416093321019699,-2.0238804284732894,-1.3199787729048944,1.6157871031954063,0.9177076724000355,0.2590274836562649,0.398378943033161,-0.6056655839920606,1.180706601148497,-1.084664727793081,-0.5925105295130879
ACH-000026,-0.9010836231413344,-0.4488931026100072,0.005497019514316785,0.5206199068695524,-1.5764927829578514,-0.2864135425655284,0.4031442558096748,0.4079187409450348,0.33022749879480895,0.06491005589443756,-0.07152182381554818,0.49808936995031894,-0.6703548976824086,0.18911842627279238
ACH-000028,-0.42711132363530335,-1.3359092188098454,1.2214126379128531,1.049692204225164,-0.45132630888194325,0.4488931026100073,-0.18240722283447414,-0.1868804268224072,-0.6703548976824086,0.5055709279090783,-0.05830112436099074,-0.25902748365626477,0.02748842052851622,0.01869086043604089
ACH-000029,0.08254853290411288,-0.09579396502978645,0.5281886287114783,0.7094098525076643,-0.07152182381554818,0.24994280625282192,0.17123996032070093,-0.8369305999126725,-1.1763033333991566,0.14896791903016532,0.42952135053880236,-1.322610585186737,-0.5383276331761137,-0.612282483031648
ACH-000030,-0.10021273153199595,-0.18464336299896028,-0.005497019514316924,0.93458929107348,0.6814069363243775,0.4440346342705392,-0.7065847616387614,-0.46843480346397653,0.6296136839545463,-0.8814576331714923,1.0345541132346794,-0.24994280625282178,-0.28183481319966286,0.8879616072736423
ACH-000035,-0.33952996655970646,0.743766841141197,-0.3279063714436698,1.3858606000569538,-0.28183481319966286,-0.0693175680314917,-0.1467449554865486,-0.1556412739305921,-0.46598243956846025,0.20032287919934852,0.059402428332506245,0.5043220460777779,1.0689599435351733,0.7820068867537175
ACH-000036,0.7065847616387614,-0.08696195327319917,1.0049679545269972,1.0308064799022894,1.053514476181976,0.8863320996731163,-1.9909059489640788,-1.7995620080435373,-0.7524934190627787,1.7218995346777688,1.3858606000569538,1.3252515904708695,0.9448472953663021,0.4881570607827634
ACH-000037,-0.6676046872592142,-0.0076958645280918465,0.036288108699855263,1.6157871031954063,-0.6109569661538571,-1.4977026374118696,-0.09800310908566968,-0.1690091126132405,0.7583430960005929,1.3043764426955688,-0.2070575519737386,2.0973239031987645,1.6157871031954063,0.93458929107348
ACH-000039,1.8519354844002658,0.25448251959291907,-1.0650747484714613,-0.19135737335186584,-1.1632284115355502,-1.7940385403408095,1.3974419828247846,1.640615800581922,1.2941487795873434,-0.8061169161858521,-1.9451711242093468,0.9010836231413344,-1.096621196738911,-0.7495782208162746
ACH-000040,-0.2048116325051352,-0.2692734025006121,-1.9451711242093468,0.2772619848505168,-0.060503804356206815,-0.5872772110380803,0.6189262992365707,0.5820599275295223,0.3936226596401808,0.42831602611722197,-0.5898918508060312,1.6664991613969533,-0.9278049190833462,0.6189262992365707
ACH-000041,0.25448251959291907,-0.8291535170884398,-1.0728613416500032,-0.3582243332982911,0.2340936433721047,0.29099828444060294,0.27041356511146836,0.8526387817710663,0.036288108699855263,-0.43434891564061573,-0.9177076724000351,0.6758705974557161,-1.0067912763026081,-0.24540823817218774
ACH-000042,-1.7415972245036333,-2.6565387878196756,-1.1632284115355502,-1.0926183477238136,1.076779138413667,1.772474711666923,-1.9168014719289324,-0.5332512786684108,-1.8642920563070788,1.0049679545269972,1.741597224503634,-0.2340936433721047,0.45620076684730015,1.5614354093618503
ACH-000045,1.6577476036291683,1.2740898393217566,0.8307049118491973,-1.7940385403408095,0.0891692934466064,-0.04288968208825873,0.6457812190010196,0.06491005589443756,0.133421997906913,-0.7293469271307469,-1.0086179513174214,-1.5764927829578514,-0.3279063714436698,-0.8977886334754037
ACH-000048,-0.04729175190637022,-0.5794572240112413,-0.6841829470557181,-0.6189262992365707,-0.3558808140761946,0.26130196788493976,0.28183481319966275,1.9451711242093461,0.4319338747899584,0.3558808140761947,-0.18240722283447414,-0.5485222826980979,-1.6664991613969526,0.9797835324994979
ACH-000052,1.0086179513174214,-0.05609872719514376,-0.2544825195929189,0.5742635458221239,0.4127025430789826,0.8400556357339782,-0.5820599275295225,0.2386158046284212,-0.5977601260424784,0.4391866247444289,-0.42229868545116184,0.5080710616447608,-0.7408705559340103,-0.6621193482292986
ACH-000053,0.10021273153199581,0.5080710616447608,-0.5600598774313398,0.01869086043604089,1.35769210342973,0.6593841418798565,-0.5562057989339743,-0.3936226596401808,0.8879616072736423,0.28183481319966275,-0.2909982844406031,-0.32095352068442146,1.0650747484714616,0.1467449554865486
ACH-000054,-0.3372016251408053,1.1985531246455747,0.01869086043604089,0.8685602224988808,-1.93079206592976,-2.6565387878196756,1.1940558027182056,1.5919163168159876,2.434502406337297,-1.1546211199864427,-0.6322967567317324,1.1675645511806783,-0.21380162923518106,0.26130196788493976
ACH-000055,-0.9110278462898451,-1.477753815705203,-0.9904999275311626,-1.1210168225962824,0.5951332776701089,0.24767488561581988,1.0122814351089962,0.7452173252375651,1.5394920775526066,0.126769537138465,-0.6566538597459011,-1.1397608101928185,-0.33022749879480895,-1.2790564074958748
ACH-000060,1.264249885119522,0.5665019148999156,0.55877426286374,-0.9552056993359318,-3.007786556473252,-1.3043764426955688,0.7671666205857572,0.8400556357339782,0.5181036339972976,-0.2726949469494098,-0.7820068867537173,-0.48073935846966426,-0.1868804268224072,-0.01869086043604103
ACH-000067,0.06270677794321385,-0.4881570607827635,-0.6376766160079513,2.1175815000165468,0.2658550075342104,-0.7236213251742154,-1.2740898393217566,-0.2340936433721047,-0.14230119170291788,2.8489799156823308,0.4007604618510929,1.8280379276044878,0.00109939858753573,0.4832089679002755
ACH-000070,0.6322967567317324,0.007695864528091708,0.16454992784911962,0.4708899878125548,-0.2921454225191886,0.7849956136784568,0.46598243956846,0.9043884250002668,0.9448472953663021,0.3865048558827439,-1.1675645511806783,-1.2214126379128527,-1.546723953246356,-1.023354316375886
ACH-000074,-0.2658550075342102,0.06711364899267981,-1.731664396122245,-1.1503493803760079,0.7279132908816444,0.5218792795289048,1.1169046698702836,1.7940385403408106,0.6349843890817186,-1.1006416942659187,-1.5614354093618503,-0.28412343330913126,-1.6322274557352336,-0.3582243332982911
ACH-000075,1.2260617496750101,-0.0032982010778991456,0.585971396290434,0.10242284336907109,-0.3723273700334457,-0.10242284336907123,-0.02748842052851622,-0.6484921805928572,1.0612055642645124,0.34886190961904734,-0.03848844324292296,2.2915811443328766,-1.3412954040553924,-1.0807135329098065
ACH-000076,-1.731664396122245,-1.1334685435697693,-2.6565387878196756,-0.5562057989339743,0.9904999275311626,1.314742400923604,-0.1046334556140754,0.9010836231413344,0.8291535170884398,-0.11790825683843847,-1.8642920563070788,-0.0076958645280918465,0.20930451635983457,1.3252515904708695
ACH-000077,-0.24314285086085877,-0.45498114030642833,-2.0412290029455087,-0.4635328749382808,0.11790825683843847,0.41030946828115844,1.5182659475558995,2.3230691379043127,1.7940385403408106,-0.3746850166103579,-1.1210168225962824,-0.8879616072736423,-1.3974419828247842,-1.5919163168159876
ACH-000078,-1.9168014719289324,-1.1046800621865227,-1.314742400923604,0.1801719943942599,1.7940385403408106,1.4395314709384563,-1.6577476036291676,-0.6430749951728808,0.08475503672812082,1.3801389729135718,-0.5105743752088904,0.398378943033161,0.6758705974557161,1.3043764426955688
ACH-000082,-0.16009401266716553,0.38177053102389175,-1.1851328811470352,0.2340936433721047,-0.2990363890604838,-0.42229868545116184,0.787991369076319,0.8589812200347285,1.264249885119522,-0.04949312519186336,-0.6215914776366401,1.264249885119522,-1.0689599435351735,0.7236213251742154
ACH-000085,-0.009894746751426072,-0.05169473834966144,-0.45376219016987945,0.19583815857485232,0.09579396502978631,0.2772619848505168,0.49808936995031894,0.4782726775822579,-0.994097425556237,-1.1851328811470352,0.5408710138672533,0.024189122744124693,-0.751035022116559,0.06711364899267981
ACH-000086,1.203074819956593,3.3272129920738123,3.0077865564732638,-1.6157871031954063,-1.9909059489640788,-2.3570442297684564,1.97519860622955,-0.7350965394144469,0.19359728009563426,-1.3744621740061043,-0.3279063714436698,0.46108608852533495,-0.0759313888959628,-2.6565387878196756
ACH-000087,0.4055303428319633,-0.9110278462898451,-1.180706601148497,-0.5485222826980979,-0.5030739503457283,0.2864135425655283,0.9244286998588873,1.0159585554771338,0.29099828444060294,0.03188795595915477,-1.415173801571812,0.5485222826980981,-0.7279132908816442,-0.08254853290411272
ACH-000090,1.2593754934254444,1.2545308418114915,1.6491212011468943,-0.561346418336008,-0.10021273153199595,-1.1107716166367854,0.25675433866165864,-0.09137706817013944,-0.16454992784911948,0.12455331087314676,0.014292665362238137,-0.4488931026100072,0.014292665362238137,-1.4909869838078214
ACH-000092,-0.16454992784911948,-1.8642920563070788,-1.8898955575205072,0.5510798360085837,-0.8717709721899588,-1.0573522020432222,0.4906355888106408,0.5256623794275063,0.4956017206389103,-0.2340936433721047,-0.09137706817013944,2.5300844134039813,0.6242610786459207,2.0973239031987645
ACH-000093,-1.2941487795873439,-0.3723273700334457,0.31401615114926634,-0.2726949469494098,1.0383163332509597,0.8749907341475217,-1.096621196738911,-0.5794572240112413,-1.1418682881513451,1.1355609711324433,1.9031763053671464,0.18911842627279238,0.7322187075540352,0.9193840350404713
