gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
MTX2,8|11,2,MOM,1.705
SUCLG2,3,1,Matrix,1.3687
FDX1,4|5,2,Matrix,1.0373
SLC25A1,3|9,2,MIM,1.6448
MRPS28,6,1,Matrix,1.3306
TIMM50,8,1,MIM,1.9027
VDAC2,12,1,MOM,1.3591
SLC25A42,5|9,2,MIM,1.4868
TOMM7,8|12,2,MOM,1.8579
ECH1,5,1,Matrix,1.1302
GATB,6,1,Matrix,1.5426
BCS1L,1,1,MIM,1.7897
ERAL1,6|7,2,Matrix,1.1416
CMC1,2,1,IMS,1.463
MRPL28,6,1,Matrix,2.0
TSFM,6,1,Matrix,0.9776
FXN,5,1,Matrix,1.2598
NFU1,5,1,Matrix,1.2159
YARS2,6,1,Matrix,1.2488
MRPL21,6,1,Matrix,1.2379
ALDH4A1,5,1,Matrix,0.9846
TOMM40L,8,1,MOM,1.4678
NDUFAF1,0,1,MIM,1.2141
NDUFB10,0,1,MIM,1.5629
ACADSB,4|5,2,Matrix,1.3271
MRPS9,6|7,2,Matrix,1.3064
COQ8A,5,1,MIM,1.427
ACADVL,4,1,MIM,1.2718
COQ4,5,1,MIM,0.9861
MRPL15,6,1,Matrix,1.3899
NDUFA2,0,1,MIM,1.2973
MRPL24,6,1,Matrix,1.3516
HSPD1,8,1,Matrix,1.3064
NDUFS5,0,1,MIM,1.6589
AK3,5,1,Matrix,1.2962
CYCS,5|10|12,3,IMS,1.6057
MIPEP,8,1,Matrix,0.9137
LYRM7,1,1,Matrix,1.5552
CRAT,4,1,MIM,1.052
PCCB,4,1,Matrix,1.1979
MRPS7,6|7,2,Matrix,1.3521
MRPL3,6,1,Matrix,1.5556
PRODH,5|10,2,MIM,1.2894
PCCA,4|5,2,Matrix,1.3423
MCCC1,5,1,Matrix,1.3227
MRPS12,6,1,Matrix,1.5431
CLPB,8,1,IMS,0.9444
PDK1,3,1,Matrix,0.9479
MRPL49,6,1,Matrix,1.1975
COX7A2,2,1,MIM,1.5418
TMEM126A,0,1,MIM,1.5312
ECHDC2,5,1,Matrix,1.0867
HCCS,5,1,IMS,1.3594
HIBADH,5,1,Matrix,0.9979
MRPL19,6,1,Matrix,1.1502
MRPL36,6,1,Matrix,1.4502
SLC25A30,9|10,2,MIM,1.6879
BDH1,4,1,MIM,0.9232
FARS2,6,1,Matrix,1.1047
ABCB7,5|9,2,MIM,1.2731
MTX1,8|11,2,MOM,1.5967
NDUFA7,0,1,MIM,1.7868
TIMM17A,8,1,MIM,1.32
ALDH9A1,5|10,2,Matrix,0.8944
MRPS18C,6,1,Matrix,1.4753
MARS2,6,1,Matrix,1.1625
ALDH6A1,5,1,MIM,1.2873
FDXR,4|5,2,Matrix,0.9953
GATC,6,1,Matrix,1.1526
TRAP1,8,1,Matrix,1.0524
ACAD8,5,1,Matrix,1.0391
ALDH2,10,1,Matrix,0.9314
PPIF,12,1,Matrix,0.906
TIMM22,8,1,MIM,1.2787
IVD,5,1,Matrix,1.4308
L2HGDH,3,1,MIM,0.887
ETHE1,10,1,Matrix,1.0279
MRPL20,6,1,Matrix,0.9119
SLC25A5,9|12,2,MIM,1.584
SLC25A12,3|5|9|13,4,MIM,1.2925
MRPS21,6,1,Matrix,1.5939
TOMM22,8,1,MOM,1.5068
ACAA2,4|5,2,Matrix,1.4261
MRPL30,6,1,Matrix,1.6299
DNAJA3,8,1,Matrix,1.3717
NDUFB2,0,1,MIM,1.188
MRPS34,6,1,Matrix,1.1484
ETFB,4|5|10,3,Matrix,1.9335
AFG1L,8,1,MIM,1.6449
ATP5IF1,2,1,Matrix,1.3179
ATP5PB,2,1,MIM,1.9008
COX7C,2,1,MIM,1.9008
CHCHD3,11,1,MIM,1.5898
COQ10B,5,1,MIM,1.1209
ACSF3,4,1,Matrix,1.0378
POLDIP2,7,1,Matrix,0.9926
SLC25A10,3|9,2,MIM,1.4446
SLC25A13,3|5|9|13,4,MIM,1.3939
PDK3,3,1,Matrix,1.0873
ME3,3,1,Matrix,1.6526
MRPL22,6,1,Matrix,1.3472
IDH2,3,1,Matrix,0.8462
GCDH,5,1,Matrix,0.9462
MRPL47,6|7,2,Matrix,0.879
PPA2,5,1,Matrix,1.0886
MRPL9,6,1,Matrix,1.1476
CHCHD10,10,1,IMS,1.2141
WARS2,6,1,Matrix,1.0954
SLC25A19,9,1,MIM,1.3363
CBR4,4,1,Matrix,1.6406
SMDT1,9|13,2,MIM,1.1923
HAGH,10,1,Matrix,0.8205
COX7A1,2,1,MIM,1.0796
MTG1,6,1,Matrix,1.4697
COX14,2|6,2,MIM,1.4208
NDUFA12,0,1,MIM,1.9475
MRPS16,6,1,Matrix,1.3041
MTERF2,7,1,Matrix,0.937
ETFRF1,10,1,Matrix,1.4515
GPD2,10,1,MIM,1.5301
NDUFA10,0,1,MIM,1.3245
NDUFC2,0,1,MIM,1.6819
SLIRP,7,1,Matrix,0.8951
MT-ATP6,2,1,MIM,1.7388
MT-CO2,2,1,MIM,1.7388
TIMM21,2|6|8,3,MIM,1.6865
NDUFA8,0,1,MIM,1.4918
GLS,5,1,MIM,0.9215
NDUFB11,0,1,MIM,1.0419
DHTKD1,5,1,Matrix,1.283
FAHD2A,5,1,Matrix,1.0954
HSD17B8,4,1,Matrix,0.966
HINT2,4,1,Matrix,0.974
MRPS5,6,1,Matrix,1.2955
C6orf136,5,1,Matrix,1.0962
SPRYD4,5,1,Matrix,1.0886
LIPT2,4,1,Matrix,1.2198
DECR1,4,1,Matrix,1.3619
MRPS26,6,1,Matrix,0.9504
SLC25A15,5|9,2,MIM,1.3686
NDUFV3,0,1,MIM,1.276
BPHL,10,1,Matrix,0.9928
STOML2,2,1,MIM,1.0103
MSRB2,10,1,Matrix,0.9788
LACTB,4|8,2,IMS,0.8926
TOMM40,8,1,MOM,1.2197
SLC25A25,9|13,2,MIM,1.2313
ADCK5,5,1,unknown,0.961
ACAD10,4,1,Matrix,0.9208
VWA8,5,1,Matrix,1.2574
CCDC90B,2,1,MIM,0.8617
DNAJC11,11,1,MOM,1.3173
ALKBH7,5,1,Matrix,1.0735
GLDC,5,1,Matrix,1.3237
MPC1L,3,1,MIM,1.452
THEM4,2,1,MIM,0.8756
SSBP1,7,1,Matrix,1.3041
MRPL27,6,1,Matrix,1.3041
HSCB,5,1,Matrix,1.0537
MRPS10,6,1,Matrix,1.4969
AK4,5,1,Matrix,1.4801
ATAD3A,7|11,2,MIM,1.437
MRPL37,6,1,Matrix,1.2012
PTGES2,2,1,MIM,1.2844
TXNRD2,10,1,Matrix,0.9053
ACSM5,4|10,2,Matrix,0.9053
CISD1,5,1,MOM,1.4717
MRPL41,6,1,Matrix,1.5246
MTARC2,5|10,2,MOM,1.151
MRPS6,6,1,Matrix,1.4189
MRPL23,6,1,Matrix,1.3608
SQOR,10,1,MIM,1.1213
SCO1,2|5,2,MIM,1.0275
GCAT,5,1,unknown,1.0077
MTHFD1L,5,1,Matrix,1.0176
ECI2,4,1,Matrix,0.9757
UQCRB,1,1,MIM,1.728
ATP5PD,2,1,MIM,1.728
ATP5MG,2|11,2,MIM,1.728
MCCC2,5,1,Matrix,1.1765
MCEE,4,1,Matrix,1.1088
