gene_symbol,modules,n_modules,sub_mito_location,evidence_weight
ACSS1,4,1,MIM,0.8649
RFK,5,1,Matrix,0.9696
STARD7,4,1,IMS,1.013
CHPT1,4,1,MIM,1.1554
MT-ATP8,2,1,MIM,1.32
TIMMDC1,0,1,MIM,1.0771
SPATA19,5,1,unknown,1.0666
HTATIP2,9,1,Membrane,1.104
AKR7A2,5|10,2,Matrix,0.887
DUT,5,1,Matrix,1.115
MT-CO3,2,1,MIM,1.449
DHRS7B,9,1,Membrane,1.1521
MTRF1,6,1,Matrix,1.2474
TMEM143,2,1,MIM,0.9576
NT5M,5,1,Matrix,0.7862
RHOT1,11|13,2,MOM,1.069
NME4,2,1,MIM,0.8659
MTHFS,5,1,Matrix,1.0716
TIMM29,8,1,MIM,0.7616
PNPO,5,1,Matrix,1.3363
MICU2,9|13,2,MIM,0.7197
PCBD2,5,1,unknown,0.672
QRSL1,6,1,Matrix,1.1059
ADCK1,5,1,unknown,1.0179
PRDX6,4|10,2,unknown,1.1104
NIPSNAP1,12,1,Matrix,0.9245
GARS1,6,1,Matrix,0.995
ACSM2A,4|10,2,Matrix,0.8097
SLC25A33,9,1,MIM,1.0771
LYRM9,5,1,unknown,0.9792
RAB24,11|12,2,MOM,0.9261
PARS2,6,1,Matrix,1.1553
MRPL52,6,1,Matrix,0.8064
PUS1,7,1,Matrix,0.8815
GOT2,3|5|10,3,MIM,1.26
NAXD,5,1,MIM,1.0382
MT-ND3,0,1,MIM,1.38
ACCS,5,1,unknown,1.1431
PTRH2,12,1,MOM,1.1051
PGS1,4,1,MIM,1.008
OXR1,10,1,MOM,1.0266
LYPLAL1,5,1,unknown,1.1088
DNAJC28,5,1,unknown,1.3173
FPGS,5,1,Matrix,1.0398
TMEM205,9,1,Membrane,1.1813
SLC25A53,9,1,MIM,1.056
AIFM3,5|12,2,MIM,1.2823
MGST1,10,1,Membrane,1.0584
MTFP1,11,1,Membrane,0.912
COA4,2,1,IMS,1.26
NIF3L1,5,1,Matrix,1.0529
PUSL1,5,1,Matrix,1.4969
SDSL,5,1,unknown,1.0977
BAX,12,1,MOM,0.9794
MAVS,13,1,MOM,1.056
METTL17,6|7,2,Matrix,1.175
ACACB,4|5,2,MOM,1.2383
ARG2,5,1,Matrix,0.6787
MTPAP,7,1,Matrix,0.6922
CCDC51,2,1,MIM,0.7999
SUGCT,5,1,Matrix,0.9437
DNM1L,11,1,MOM,0.9332
NRDC,8,1,Matrix,1.0472
TMEM126B,0,1,MIM,1.2
NSUN4,6|7,2,Matrix,0.9408
ACSS3,5,1,Matrix,1.3098
FAM210B,5,1,MIM,0.9936
RBFA,6,1,Matrix,0.7728
METAP1D,6|8,2,Matrix,0.9798
AHCYL1,11,1,MOM,0.9888
NIPSNAP3A,5,1,Matrix,0.7181
MTARC1,5|10,2,MOM,1.175
FUNDC1,12,1,MOM,1.1371
ACSL1,4,1,MOM,1.1621
COX20,2,1,MIM,1.2
HSDL1,5,1,unknown,1.0179
CBR3,10,1,Matrix,0.8165
MTERF4,6,1,Matrix,1.056
NUDT19,5,1,Matrix,0.7787
HEBP1,10,1,IMS,0.9887
PTPMT1,4,1,MIM,0.9979
PGAM5,12,1,MOM,0.9794
DTYMK,5,1,Matrix,1.115
KARS1,6,1,Matrix,0.8573
STAR,4,1,MOM|IMS,0.8165
DNAJC19,8,1,MIM,1.323
OTC,5,1,Matrix,0.7862
COX7A2L,1|2,2,MIM,0.9984
MTERF3,6,1,Matrix,0.9072
SFXN2,9,1,MIM,1.0886
FASN,10,1,IMS,1.0573
PINK1,12,1,MOM,0.8064
TMEM177,2,1,MIM,0.8568
TXNRD1,10,1,unknown,1.0002
THNSL1,5,1,Matrix,1.0469
FDPS,2,1,MIM,0.9923
IDI1,5,1,Matrix,0.9923
TOP3A,7,1,Matrix,0.7403
FTMT,5,1,Matrix,0.6854
LDHAL6B,5,1,Matrix,0.9253
MTFR1,11,1,Membrane,1.0656
BCL2L13,12,1,MOM,0.979
TRMT10C,7,1,Matrix,0.719
ACOT7,5,1,Matrix,0.6787
TFB1M,6|7,2,Matrix,1.1774
ARF5,5,1,unknown,0.8988
MCUB,9|13,2,MIM,0.8813
TWNK,7,1,Matrix,0.8136
MMADHC,5,1,Matrix,0.864
PYCR2,5,1,Matrix,1.131
TSTD1,10,1,unknown,1.0793
LYRM1,5,1,unknown,1.175
OSBPL1A,4,1,unknown,0.9072
RECQL4,7,1,Matrix,0.8981
PET100,2,1,MIM,0.9696
GDAP1,12,1,MOM,0.9799
MTIF3,6,1,Matrix,1.2403
UNG,7,1,Matrix,0.9853
GLYAT,5|10,2,Matrix,0.924
ISOC2,5,1,Matrix,1.08
ATP5MC1,2,1,MIM,1.3721
QDPR,5,1,Matrix,0.7711
COQ8B,5,1,MIM,1.0079
GTPBP10,6,1,Matrix,1.0079
TSPO,4,1,MOM,1.0382
FTH1,5,1,unknown,1.0181
TRMT1,7,1,Matrix,0.7479
ADCK2,2,1,MIM,0.9765
TSTD3,5,1,unknown,0.9173
PDP2,3,1,Matrix,1.0072
AGPAT5,4,1,MOM,0.9344
MCRIP2,5,1,unknown,1.3344
UCP2,9,1,MIM,1.0877
SLC25A37,5|9,2,MIM,1.0982
SLC25A28,5|9,2,MIM,1.0877
SLC25A48,9,1,MIM,1.056
SLC25A43,9,1,MIM,1.32
SLC25A47,9,1,MIM,1.0771
SLC25A41,9,1,MIM,1.0771
SLC25A34,9,1,MIM,1.0771
EPHX2,10,1,unknown,1.0977
NUDT5,5,1,unknown,1.0685
MICU1,9|13,2,MIM,0.9173
SOD1,10,1,IMS,0.9437
SERHL2,5,1,unknown,0.995
NDUFAF3,0,1,MIM,0.7711
BOLA3,5,1,Matrix,0.945
OCIAD2,5,1,unknown,1.152
RSAD1,5,1,MIM,0.8818
CHCHD6,11,1,MIM,0.924
FASTKD2,6|7,2,Matrix,0.896
PEX11B,9,1,Membrane,0.756
TMEM186,0,1,MIM,0.7848
PIF1,5,1,Matrix,0.796
FABP1,5,1,unknown,1.0382
ABCD1,9,1,Membrane,1.0079
PLPBP,5,1,Matrix,1.0551
DBI,5,1,unknown,0.9912
PNPT1,7,1,Matrix|IMS,0.8491
TOP1MT,7,1,Matrix,0.9752
RNASEH1,7,1,Matrix,0.8694
ABCA9,9,1,Membrane,1.5649
SCP2,4,1,MIM,1.296
NT5DC3,5,1,Matrix,0.8158
CMC4,10,1,IMS,1.44
LDHB,5,1,unknown,0.9344
YBEY,6|7,2,Matrix,1.035
HINT1,5,1,unknown,1.0251
MUL1,11,1,MOM,0.9888
TK2,5,1,Matrix,0.7636
AGMAT,5,1,Matrix,0.9085
CMPK2,5,1,Matrix,0.6464
BID,12,1,MOM,0.7123
ARL2,11,1,IMS,0.8988
SYNJ2BP,11,1,MOM,0.9156
MFF,11,1,MOM,0.8976
DCXR,5,1,Matrix,0.8328
NUDT9,5,1,Matrix,1.0987
AMACR,4,1,Matrix,0.9324
VPS13D,12,1,MOM,0.9526
NUDT6,5,1,Matrix,0.9601
DMAC2,0,1,MIM,0.808
MRM2,6|7,2,Matrix,1.0877
BAK1,12,1,MOM,0.9332
DHODH,10,1,MIM,0.9517
MAOB,5|10,2,MOM,0.9332
MGST3,12,1,MOM,0.9425
ACP6,4,1,IMS,0.9425
MRPL48,6,1,Matrix,1.155
AGXT,5,1,Matrix,0.9853
CYB5R3,10,1,MOM,0.8996
DDX28,6|7,2,Matrix,0.841
PNKD,2,1,MIM,0.756
MICU3,9|13,2,MIM,0.756
BNIP3,12,1,MOM,1.2
MTX3,11,1,MOM,0.9792
MUTYH,5,1,Matrix,0.7548
GTPBP6,5,1,Matrix,0.733
CYP11A1,4|5,2,MIM,0.9517
OCIAD1,12,1,MOM,0.9888
METTL8,5,1,Matrix,0.9042
SMIM20,2,1,MIM,0.984
RPUSD4,7,1,Matrix,1.154
SMIM8,12,1,MOM,0.84
NME6,5,1,Matrix,1.0097
FKBP8,11|12,2,MOM,0.9349
ACSM4,4,1,Matrix,1.0716
NLRX1,13,1,Matrix,0.7344
FOXRED1,0,1,MIM,1.1592
TFB2M,7,1,Matrix,0.84
PPM1K,5,1,Matrix,0.6989
ATP5MC2,2,1,MIM,1.2474
MT-ND1,0,1,MIM,1.2075
MSRB3,10,1,unknown,1.1088
ACOT11,4,1,Matrix,0.8694
NIPSNAP3B,5,1,Matrix,0.7344
NTHL1,5,1,unknown,1.182
MARCHF5,12,1,MOM,0.882
SFXN4,9,1,MIM,1.0181
TRMT5,7,1,Matrix,1.1582
SLC25A6,9|12,2,MIM,1.32
SLC25A52,5|9,2,MIM,1.32
OGG1,7,1,Matrix,0.8868
ACOD1,13,1,Matrix,1.104
QTRT1,7,1,Matrix,0.9616
AIFM2,10|12,2,Membrane,1.0954
PRDX2,10,1,unknown,0.9616
FBXL4,10,1,IMS,1.2197
GPAM,4,1,Membrane,1.0332
DMAC2L,2,1,MIM,0.8888
RMDN3,11,1,MOM,0.9064
PRXL2A,10,1,Membrane,0.8888
PET117,2,1,MIM,1.15
MAOA,5|10,2,MOM,0.8568
C15orf61,5,1,Matrix,0.7272
POLQ,5,1,Matrix,0.9072
BCO2,5,1,MIM,0.84
IFI27,12|13,2,Membrane,0.9768
CRYZ,5,1,Matrix,1.0483
PYCR1,5,1,Matrix,1.26
TMLHE,4,1,Matrix,1.1025
TOMM20,8,1,MOM,1.1
YRDC,7,1,Matrix,0.7581
COA7,2,1,IMS,0.8904
DHRS2,10,1,Matrix,1.0206
MMAA,5,1,Matrix,1.2144
MIEF1,6|11,2,MOM|Matrix,0.9576
C15orf48,9,1,Membrane,0.8568
LIG3,7,1,Matrix,0.9261
BNIP3L,12,1,MOM,1.008
FASTKD5,7,1,Matrix,0.7848
PARK7,12,1,MOM,0.9492
COA1,0|2,2,MIM,1.08
COX7B2,2,1,MIM,1.08
MT-ND4L,0,1,MIM,1.2075
SIRT4,5,1,Matrix,0.7636
UQCC2,1,1,MIM,0.856
USP30,8|12,2,MOM,0.7636
PDE12,7,1,Matrix,0.7862
NME3,12,1,MOM,0.9907
DHX30,6|7,2,Matrix,0.9799
FASTK,7,1,MIM,0.96
METTL15,7,1,Matrix,1.0396
CYP24A1,5,1,MIM,0.6854
NOCT,5,1,Matrix,0.672
PANK2,5,1,IMS,0.6854
CA5A,5,1,Matrix,1.0282
NT5DC2,5,1,Matrix,0.7416
ATAD3B,7|11,2,MIM,1.3608
TRUB2,7,1,Matrix,1.0897
PRKACA,13,1,MIM,0.9744
COMTD1,9,1,Membrane,0.9064
CPT1C,4,1,MOM,0.9332
C3orf33,5,1,Matrix,0.824
MIGA2,11,1,MOM,1.024
SND1,5,1,unknown,0.995
GLUD2,5,1,Matrix,0.882
HPDL,5,1,unknown,0.8
ANGEL2,7,1,Matrix,1.0181
ANTKMT,2,1,MIM,0.84
UQCC3,1,1,MIM,0.848
PRDX4,10,1,IMS,0.9435
CDK5RAP1,7,1,Matrix,0.9163
PAICS,5,1,Matrix,0.9844
MGARP,11,1,Membrane,0.7704
HDHD3,5,1,Matrix,0.8976
CYP11B2,4|5,2,MIM,0.9072
AGPAT4,4,1,MOM,0.8484
RCC1L,7,1,Matrix,0.7848
FAM185A,5,1,Matrix,0.888
PMAIP1,12,1,MOM,0.9888
TDRKH,9,1,Membrane,0.8484
SLC8B1,13,1,MIM,0.84
CYP27B1,5,1,MIM,0.7711
POLG2,7,1,Matrix,0.7636
THEM5,5,1,Matrix,0.756
BIK,12,1,MOM,0.96
MTERF1,7,1,Matrix,1.2
MTFR2,11,1,Membrane,0.96
GPX4,10,1,MIM,1.1025
TOMM20L,12,1,MOM,0.8976
COMT,5,1,Membrane,0.84
MYG1,7,1,Matrix,1.0786
SPATA20,5,1,Matrix,0.9
OXCT2,4,1,Matrix,0.84
CCDC127,9,1,Membrane,0.816
CRY1,5,1,unknown,0.9261
ACSM2B,4,1,Matrix,0.9923
MYO19,11,1,MOM,0.8996
MGME1,7,1,Matrix,0.832
SEPTIN4,12,1,MOM,0.9425
EFHD1,13,1,MIM,0.8484
RAB5IF,1,1,MIM,0.912
APEX1,7,1,Matrix,0.9163
SPTLC2,4,1,Membrane,0.9435
DMAC1,0,1,MIM,0.832
ATPSCKMT,2,1,MIM,0.864
NEU4,12,1,MOM,0.9
CASP9,8|12,2,IMS,0.8484
AGK,4|8,2,MIM,1.05
MCL1,12,1,MOM,0.84
DUS2,7,1,Matrix,0.9344
PLD6,4|11,2,MOM,0.9163
TOMM34,8,1,MOM,0.8484
PRORP,7,1,Matrix,0.9696
PLSCR3,4,1,MIM,0.8908
CKMT1B,2,1,MIM,0.945
NDUFB1,0,1,MIM,1.2
CASP8,12,1,MOM,0.9517
BCL2L1,12,1,MOM,0.8484
EXD2,5,1,Matrix,0.8568
ARMC10,11,1,MOM,0.808
MIEF2,11,1,MOM,1.008
THG1L,7,1,Matrix,0.84
GOLPH3,10,1,IMS,0.9064
PREPL,5,1,Matrix,0.8813
FASTKD3,7,1,Matrix,0.824
CEP89,2,1,IMS,0.808
GPAT2,4,1,MOM,0.808
NBR1,12,1,IMS,0.84
BOK,12,1,MOM,0.8484
FKBP10,8,1,IMS,0.8484
SETD9,5,1,Matrix,0.9
CYP11B1,4|5,2,MIM,1.05
CSKMT,5,1,Matrix,1.05
MIGA1,11,1,MOM,0.808
RPIA,5,1,Matrix,0.9152
BBC3,12,1,MOM,0.9984
BAD,12,1,MOM,0.8652
BCL2,12,1,MOM,0.8652
BCL2A1,12,1,MOM,1.05
BCL2L2,12,1,MOM,0.8568
CASP3,8|12,2,IMS,0.8736
DMPK,12,1,MOM,0.8568
DNA2,5|7,2,Matrix,0.8484
MT-ND6,0,1,MIM,1.05
PRKN,12,1,MOM,1.05
ALKBH1,7,1,Matrix,0.8736
PICK1,5,1,unknown,0.8568
BCL2L10,12,1,MOM,0.8484
AKAP10,13,1,MOM,0.8484
STYXL1,12,1,Matrix,0.8484
NSUN2,7,1,Matrix,0.8652
ADCY10,13,1,Membrane,0.8568
SPHK2,4|12,2,MIM,0.84
NSUN3,7,1,Matrix,0.8568
PABPC5,5,1,Matrix,1.05
PRSS35,5,1,unknown,1.05
PRIMPOL,7,1,Matrix,0.84
SERAC1,4,1,MOM,0.9984
STX17,11|12,2,MOM,0.856
TRMT61B,6|7,2,Matrix,1.26
PDE2A,13,1,MIM,0.96
PLGRKT,9,1,Membrane,0.808
ETFBKMT,10,1,Matrix,0.824
RTL10,12,1,MOM,1.0
BCL2L11,12,1,MOM,0.8
SPIRE1,11,1,MOM,0.8
C2orf69,5,1,Matrix,0.824
ARMCX2,9,1,Membrane,0.8
ARMCX1,11,1,MOM,0.816
POLB,7,1,Matrix,0.824
SNAP29,12,1,IMS,0.816
ARMCX3,11,1,MOM,1.0
ARMCX6,9,1,Membrane,1.0
METTL4,5,1,Matrix,0.824
SPHKAP,13,1,MIM,0.808
NAT8L,5,1,Membrane,0.8
MCCD1,5,1,unknown,1.0
PIGBOS1,11,1,MOM,1.0
HTD2,4,1,Matrix,1.0
