,OXPHOS_CI,OXPHOS_CII_CIII,OXPHOS_CIV_CV,TCA_PYRUVATE,FAO_LIPID,AA_COFACTOR,MITO_RIBOSOME,mtDNA_RNA,PROTEIN_IMPORT,TRANSPORT,REDOX_DETOX,MITO_DYNAMICS,CELL_DEATH,SIGNALING
ACH-000001,0.8987645412245061,-1.0525672170530576,1.73766674944076,-1.004514716827776,-1.0006693327158938,0.5064629602975156,-0.4283744940209621,1.0251435885452393,0.1311645590349848,1.3010782450818525,-0.6307676292395679,0.2264565084844412,1.2199306145448434,-0.6805322579825692
ACH-000004,0.2702515366751188,0.24870331805103735,-1.0485596813727502,-1.7466989943715514,3.480639924575217,0.34937745061187125,0.24783583490236336,1.167988524924417,0.9439903156779617,-0.336124233868545,-1.1306128700145954,0.3232753017210028,-1.0469368723542054,-0.7261501521695161
ACH-000005,-0.6257166535265271,-0.036462392648422125,-1.1026636258159737,-1.6453422349579037,2.3831419979305606,0.18222937618372287,1.326598478858841,1.9218215115135187,0.0014816224001200104,0.303512689328439,-0.3438590478878297,1.15319843390775,-1.0472759610243554,-0.5293168836270465
ACH-000007,-1.1297782071064197,1.241804029138154,1.5160519386638502,1.66454603900135,0.8522255181283243,0.23887506092805974,0.2993119284341496,0.8691673677921941,-1.3836960858973133,0.11868916980813042,0.6380121719419696,-1.5404703730261713,-0.14801444151227136,-0.6322417203863138
ACH-000009,-0.21218772330036798,0.02213638498873128,-1.7893640085269515,0.8346940401996142,-0.10920271322779838,1.313729864314389,0.9227604561512012,0.6702836128823998,2.1772399328389618,-0.47958135502966587,1.0654033343760692,-0.5722447343809691,-0.5441862371730448,-0.05420457003485461
ACH-000011,0.8388201488099091,-1.5469963782791014,0.8984954955342782,0.40878332335184325,-0.16240374957988238,0.47065848853947173,-0.10661969578852888,-0.42327788060701477,-0.024216932817685815,-0.8577253304765554,0.7289112903753852,0.7481228871020705,-0.7982179045966191,-0.2811624245311571
ACH-000012,-0.1532343897053989,-1.161854497947131,0.5360692032692811,0.9089381133736014,-0.4132712438647568,-1.7042380337678487,1.886472986771865,0.6982828968257363,0.06623412421249737,-0.7698542788129832,0.22747764878837154,-0.9502828342532065,0.1764623992196762,0.4122938973328377
ACH-000013,0.7655027789665058,-0.7865399535233872,1.6886198345284291,-0.429356210026718,-0.8047230914934903,-1.1446731693594827,-1.7096558948440728,0.05478590778055953,0.411278299799773,1.731022584009721,0.22808765454089366,-0.7099455292914716,-0.02194162159340534,0.25193915588736965
ACH-000014,0.49566435212918725,-0.16904450928570672,0.5719638556866936,0.5231350881657745,0.5810655687575939,-0.5183700750221173,-1.1574657235578847,1.2887034990116852,0.8095801001006037,0.08511771890559335,0.254788303431978,0.8569301075817412,0.8630787478021223,-1.1762418715743226
ACH-000015,-0.27083582152985186,-0.9472540621297412,2.855607004767249,0.8526542261433598,0.73569489844347,0.1149695164842195,0.3449722611650694,2.0314578647795543,-0.13465616145730105,0.4709841562246779,0.010001531360699562,-0.6809356320779248,-0.22182458906446145,-0.1488709317501638
ACH-000017,0.7201964642164693,1.0769950881204446,0.26749372741935584,1.8881944010224154,-0.6859466822454203,0.32168760672126495,0.6325487754806223,-0.8180400397205527,0.5120268849087731,0.14261393121555632,0.44649342780487855,-1.3297539579965694,-0.45584742922930194,0.18463934437164475
ACH-000018,-0.380532362494986,0.011040244792962749,-1.620146372631359,1.313041146115069,-0.3826267287095399,-0.7836621428986262,0.3055436703183367,-0.26351031723392576,0.9026448946854875,1.0718596730582284,-0.023098466003225522,-0.0185573101482154,0.18872517404041034,0.6355663966675578
ACH-000019,-0.1448780764748163,0.032359826343943646,2.374633933964153,1.181054606703695,-0.7156437727889466,0.9198738737115554,0.7198041659335965,-0.4197921640107275,-0.9264936544076319,1.5205130045945165,0.1237597060795264,-0.29279786651172607,-0.20936576461085402,-0.6435376233559005
ACH-000021,-1.187731372574069,2.0002883722061306,2.4702932164434737,-1.676980892295178,-0.139792954665853,0.15912238020377031,2.4946729436971578,-0.7247458507797162,-1.4908839447285405,0.13976865586074652,-0.9531736272912814,-0.07355221363062069,0.6618672086031069,-1.328546433479644
ACH-000022,-0.14686175082806122,0.7157865631572217,0.784121769186417,1.786586969088564,1.5151561748814855,1.14508413654329,-0.34523782795209945,-0.3403564467783329,-0.6370324950013527,-0.9321771564441195,0.3672482398806839,-1.3564456188276683,-1.6845442196207756,0.04941154414280871
ACH-000023,-1.1686857161069366,1.7854396125594025,-0.9015526852067532,1.340013969459203,-2.208816168293593,1.7543009668316338,0.7275979537699314,0.4190798271215266,0.30748386897303215,0.177564848377387,-0.60018538008169,0.10446306709827047,-0.517013429542315,-0.0735892426875656
ACH-000024,-0.5093968037466268,1.3558526322184314,0.8046435152893452,-0.848040095709968,0.3021460391419236,0.24629141321349132,-0.8404827174944015,-1.3843391284396949,2.114688547688213,1.808737904887129,-1.2125021165743095,-1.4668166700053116,-1.0100902333041049,-0.4523243112048702
ACH-000025,-0.1962662213586195,1.1486458882084407,-1.0575360005253596,0.5705521667725927,-1.44483567411757,-0.8198131558938981,1.5862709486445012,0.3857122746912829,-1.0910189808167061,0.6236704911328094,-0.08945790995095715,0.48456195841972116,-0.5216795744443792,0.031403265126583105
ACH-000026,-0.7916633019014624,-0.8170534848505265,0.8181782250223738,1.0144945651737287,-1.0417821448350422,0.8073336024045757,0.8596470678228122,0.5945161294177193,-0.0030291519949664386,-0.29653582842437015,0.27196521047768746,0.7484031928979886,-0.22789057750919398,-0.09638280111595361
ACH-000028,-0.7216021335751385,-1.3996184620558092,2.658635147041734,1.4733651915092656,-0.10713340390567425,0.9315762070242112,0.8561049542080985,-0.24503576683699205,-0.5387276140033318,0.49714642755168365,0.21159271607796165,-0.4871106851552429,-0.05340278352440765,0.011211963802924095
ACH-000029,0.1261062573696239,-0.8481152021546459,0.8369518879505553,1.9268672666038391,0.16456382717333606,0.03223544567825717,1.2669412804873728,-0.7195593456276417,-1.340134041773322,0.30730902202888266,0.18554537957072273,-0.8966778322824357,-0.35723651012047103,-0.4668842097729077
ACH-000030,0.12244130086469378,-0.4931905334320959,0.1833973787227868,1.3622918550205059,1.1205687931147406,-0.10484925198304688,-0.7653158935857372,-0.057975246847788646,1.2039752542914637,-2.004616987644607,0.9114802298728593,-0.4457479381980712,-0.10451948219425758,0.5905643315694331
ACH-000035,-0.06226353794074744,0.9509300608658495,-0.07953249902805223,1.3516718696102623,0.08432832933850623,0.15751969498181806,-0.07367956314607438,0.6278747233448359,-0.25868112273949395,-0.6162004581651739,-0.42677173204051677,-0.24736721379822005,1.8426594981464632,0.21633868373942747
ACH-000036,0.2691915820394946,-0.3659732716424376,0.5900726241007163,0.9840334597711125,0.4639103296184985,0.07180967136018403,-1.128093009774242,-1.125074647440332,-0.5913782920123097,0.5323015640634458,-0.1264112278708079,1.3170939437022686,-0.5582485286647217,-0.5365043958909345
ACH-000037,-1.4189566386581685,0.2631647071126498,-0.0644865478299382,1.8897286747085311,-0.7569855719152544,-1.701746113978954,-0.1930348903833271,-0.1334177147636685,0.4001167345025929,-0.5407655752297871,-1.4613629592892803,0.4581345217515745,0.7393449306671295,0.00047204385196600155
ACH-000039,2.225520902369798,0.7970711809865685,-1.6122151544003718,-0.07864432176519191,-0.12584090950879587,-0.374838999964545,0.573981691329159,1.077738748901876,0.6104339932811931,-0.34830967330042606,-1.7442981245589038,0.6903421343861315,-0.9948641031426134,-0.4185255236839779
ACH-000040,0.2398427672190145,0.6109958900958656,-1.968175451822173,0.5124656500200794,0.47904148520690504,-0.33558454779349806,0.6303073473443479,0.3246373653302853,0.5457977097107666,-0.35363799865790135,-0.15371184705759872,1.1109102249188334,-0.9651620487841369,1.000145346382195
ACH-000041,1.0531422142364,-0.33744460542621946,-0.8680598806113217,-0.8273559662457545,0.8856838932206931,0.9065700922729856,0.5362936735360763,0.9323838877601482,0.09298350554690674,0.2300073407229194,-0.13433800541938493,0.5703905441056794,-0.9255567525910625,0.9632070826692843
ACH-000042,-0.325198495478881,-2.2434249487443836,-0.38211777505766925,-0.48496414525903736,-0.631793526673198,0.43008347078103537,-0.8084926175586541,0.09585752948692104,-0.709541838136537,-0.7986134857135258,0.3734950535414805,-1.2151238038707324,-0.5163852536574004,-0.616324539517011
ACH-000045,1.0800158766272705,2.086660382862448,0.06512856195590527,-1.0625866467870384,1.5090449881451284,0.03520242879689465,-0.0006387119704238261,0.9193764292743337,0.6027455995833776,-0.21916996847741285,-1.4431964355644682,-1.6100833284358311,0.6572039533610936,-0.9466931111475206
ACH-000048,0.5848834068757033,-0.47120651966156823,-0.49692618776055547,-1.306717237820178,-0.4015529419048819,-0.03575544610167541,0.24999708248072697,1.5922221110264339,0.10543694339957886,1.1561185509815597,1.1784260080245894,-0.7459798385173966,-1.7266899198365697,1.3235531693222287
ACH-000052,1.2635735282065619,0.4267984965360901,-0.2700244064123593,0.065191117620467,0.5206638681471044,1.3578687431973218,-0.5679954285774476,0.44532247704542594,0.07788022377003073,-0.10979968583449894,-0.19876454554549974,0.5309457451910878,-0.6893089123955726,1.4185823074402313
ACH-000053,0.08853615264435605,0.06938845563910204,-0.5040660085406936,-0.31072668853458824,1.9140226513934162,-0.28310179824864296,-0.3363510061056998,-0.8467558941218964,1.6116218657895527,-0.1932448916952575,-0.8341566864773944,-0.9787382170221023,0.6433222152950524,-0.405534719710101
ACH-000054,-0.9317966423283838,0.5676690476941656,0.2625860578383359,0.5938507849756841,-0.9155101425635178,-1.8819876271543823,0.18544970512602568,1.0500529676233177,1.5160153103645015,-1.1383075085618939,-0.3476621755927618,0.04496362215075129,0.415694850564537,0.5495593424470759
ACH-000055,-0.7704886203091117,-0.8529935126978619,-0.4841920564830042,-1.3413579602389059,0.33230256485706783,0.33249053866474704,1.439418042462009,-0.5438036442855282,1.9613958031217749,0.804037904192191,-0.40959240492919274,-1.1459910983064312,-0.8136997549603164,-0.6348275332392587
