,SPCA_00,SPCA_01,SPCA_02,SPCA_03,SPCA_04,SPCA_05,SPCA_06,SPCA_07,SPCA_08,SPCA_09,SPCA_10,SPCA_11,SPCA_12,SPCA_13
ACH-000001,2.2475697462944964,0.5336166045411781,0.10668017359425144,2.1211667749260528,0.39910868112692327,1.1944395550345992,0.8028572010226707,-0.7853675049868938,0.5194110004867256,-0.2233296018049768,1.6751509334642634,-2.485970580297883,1.282779494762718,-1.0612952134099127
ACH-000004,-0.17226113479123864,-1.7913786096157245,-1.8232539218178148,-1.337614143451522,0.6506927611235691,-1.2183532663290717,4.448931694390022,3.666012790691189,1.4913512136021991,3.668204637479138,-0.9590827521255755,-1.8681618807392835,-2.7351858100594053,-0.3847205501087102
ACH-000005,-0.9643580121265211,-1.985804747440631,-3.8209700378259708,-2.768925948003122,-2.202661647609175,-5.622900562285985,1.5952707515987543,1.6750856642155876,-0.4569837475349875,4.43880744501962,-3.3111852328648466,-1.1099689238648018,-4.095633618444322,0.062372135959057495
ACH-000007,1.3919780469350667,-0.38421487780721475,1.9204062656487948,0.06980398430294997,1.9947344245962495,4.036128132316385,1.6091215865348814,1.1740984774231038,-0.2136559273973866,0.3009541035534922,3.047684371533705,-2.8629594430092373,2.937755543024116,-1.2298600027063713
ACH-000009,1.436283954579586,0.0326297635687805,-0.598280080226725,-1.292686412498706,-1.0890539132392065,-1.3778786458685641,0.971949753970242,1.1766340443467669,1.8963220217968428,0.6706623386401499,1.5131297860785118,-2.7200516427398402,0.7903083061575787,-0.18062675838466266
ACH-000011,2.3844182148193442,0.05816151462669533,2.8551734784190286,1.8237109938130567,1.889344501725903,4.326567017341214,3.942197881648584,1.988994407794238,0.7196474907157956,-3.1308042336922473,1.0660128526647414,1.0273107033292541,-1.07123889579633,-0.8949342095526839
ACH-000012,2.2480616832619966,0.8685219741601595,1.7789784378020543,0.4380636171048487,0.46809102868268626,1.0742124575871772,1.9576532917624585,1.8550009918910948,2.525749896854596,-2.2713313940663236,0.5988233841826266,-2.63864412389906,0.6090583711568505,-1.6112352999499606
ACH-000013,3.763545238724358,1.013499234894191,2.7338743823061065,2.5794079812183304,2.1469154938817234,3.388825897833392,2.4679238395079977,1.4958584598586433,1.5424165394817786,-1.3043327529727162,3.092943198849314,-2.514016277645003,0.7706642336001192,-1.4068071194747012
ACH-000014,0.49681221799528985,1.4771321928717631,0.7665833820238227,1.0748121654807319,-0.28579333092179626,1.8531082775274634,2.9984855015645566,2.6668600354107457,0.3515264443603223,-0.34866850848016107,-1.3008554334345086,-0.23930593340125184,-0.15065640759113413,0.4918721764332509
ACH-000015,0.8361412348155558,0.9509561122775363,0.00769890189167019,0.22241147792720536,-0.5081375034178458,2.1682678763819063,2.9810688353763974,3.407475763945535,1.4583771203266451,1.0622753414938586,-1.2201540576577772,-1.09879827090684,-1.7348497900796174,1.0145337745577978
