cell_line_id,Mitochondrial_central_dogma,mtDNA_maintenance,mtDNA_replication,mtDNA_nucleoid,mtDNA_repair,mtDNA_stability_and_decay,mtRNA_metabolism,Transcription,mtRNA_granules,Polycistronic_mtRNA_processing,mt-tRNA_modifications,mt-rRNA_modifications,mt-mRNA_modifications,mtRNA_stability_and_decay,Translation,Mitochondrial_ribosome,Mitochondrial_ribosome_assembly,Translation_factors,mt-tRNA_synthetases,fMet_processing,Protein_import_sorting_and_homeostasis,Protein_import_and_sorting,TOM,SAM,MIA40,TIM22_carrier_pathway,TIM23_presequence_pathway,Import_motor,Preprotein_cleavage,Protein_homeostasis,Proteases,Chaperones,OXPHOS,OXPHOS_subunits,OXPHOS_assembly_factors,Complex_I,CI_subunits,CI_assembly_factors,Complex_II,CII_subunits,CII_assembly_factors,Complex_III,CIII_subunits,CIII_assembly_factors,Complex_IV,CIV_subunits,CIV_assembly_factors,Complex_V,CV_subunits,CV_assembly_factors,Respirasome_assembly,Metabolism,Carbohydrate_metabolism,Gluconeogenesis,Malate-aspartate_shuttle,Pyruvate_metabolism,TCA_cycle,TCA-associated,Itaconate_metabolism,Ketone_metabolism,Propanoate_metabolism,Lipid_metabolism,Fatty_acid_oxidation,Type_II_fatty_acid_synthesis,Lipoate_insertion,Cardiolipin_synthesis,Cholesterol_bile_acid_steroid_synthesis,Phospholipid_metabolism,Amino_acid_metabolism,Branched-chain_amino_acid_metabolism,Branched-chain_amino_acid_dehydrogenase_complex,Lysine_metabolism,Serine_metabolism,Glycine_metabolism,Glycine_cleavage_system,Glutamate_metabolism,Proline_metabolism,Glyoxylate_metabolism,GABA_metabolism,Catechol_metabolism,Kynurenine_metabolism,Urea_cycle,Nucleotide_metabolism,Nucleotide_import,Nucleotide_synthesis_and_processing,Creatine_metabolism,Metals_and_cofactors,Carnitine_synthesis_and_transport,Carnitine_shuttle,Coenzyme_A_metabolism,Coenzyme_Q_metabolism,Copper_metabolism,Iron_homeostasis,Heme_synthesis_and_processing,Fe-S_cluster_biosynthesis,Molybdenum_cofactor_synthesis_and_proteins,NAD_biosynthesis_and_metabolism,Tetrahydrobiopterin_synthesis,Fe-S-containing_proteins,Heme-containing_proteins,Vitamin_metabolism,Choline_and_betaine_metabolism,Biotin_utilizing_proteins,Vitamin_A_metabolism,Vitamin_B2_metabolism,Vitamin_B12_metabolism,Vitamin_D_metabolism,Folate_and_1-C_metabolism,Detoxification,Xenobiotic_metabolism,ROS_and_glutathione_metabolism,Amidoxime_reducing_complex,Selenoproteins,Electron_carriers,Cytochromes,Q-linked_reactions_other,Sulfur_metabolism,Small_molecule_transport,SLC25A_family,ABC_transporters,Sideroflexins,Calcium_uniporter,Signaling,Calcium_homeostasis,Calcium_cycle,Mitochondrial_permeability_transition_pore,EF_hand_proteins,Immune_response,cAMP-PKA_signaling,Mitochondrial_dynamics_and_surveillance,Fusion,Fission,Organelle_contact_sites,Intramitochondrial_membrane_interactions,Trafficking,Mitophagy,Autophagy,Apoptosis,Cristae_formation,MICOS_complex
ACH-000001,0.0,0.0,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.0,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.34724003225532285,0.0,0.24640662881228725,0.24640662881228725,0.24640662881228725,0.24640662881228725,0.24640662881228725,0.0,0.0,0.30931093238255025,0.30931093238255025,0.30931093238255025,0.30931093238255025,0.30931093238255025,0.30931093238255025,0.30931093238255025,0.0,0.30931093238255025,0.30931093238255025,0.0,0.0,0.0,0.0,0.31053138065403996,0.31053138065403996,0.0,-0.019933298607131243,-0.019933298607131243,0.0,-0.019933298607131243,-0.019933298607131243,0.0,0.2875028405987948,0.2875028405987948,0.0,0.2875028405987948,0.2875028405987948,-0.019933298607131243,0.0,0.0,-0.10954820668204818,-0.10954820668204818,-0.10954820668204818,-0.10954820668204818,-0.10954820668204818,0.0,0.02942975451680414,0.0,0.0,0.02942975451680414,0.02942975451680414,0.02942975451680414,0.02942975451680414,0.02942975451680414,0.02942975451680414,0.0,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.0,0.3360503242541896,0.0,0.0,0.0,0.02942975451680414,0.02942975451680414,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.0,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.10335950837323171,0.0,-0.13091280662761728,-0.13091280662761728,-0.13091280662761728,-0.13091280662761728,0.0,-0.13091280662761728,-0.13091280662761728,-0.13091280662761728,0.0,0.3360503242541896,0.3360503242541896,0.3360503242541896,0.3360503242541896,0.0,0.18509580575677037,0.18509580575677037,0.16922026766261286,0.18509580575677037,0.18509580575677037,0.18509580575677037,0.0,0.38144097525557497,0.38144097525557497,0.38144097525557497,0.38144097525557497,0.38144097525557497,0.16922026766261286,0.16922026766261286,0.16922026766261286,0.38144097525557497,0.38144097525557497
ACH-000004,0.0,0.0,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.0,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.4321750814321805,0.0,0.18218451521996115,0.18218451521996115,0.18218451521996115,0.18218451521996115,0.18218451521996115,0.0,0.0,0.28262038758627595,0.28262038758627595,0.28262038758627595,0.28262038758627595,0.28262038758627595,0.28262038758627595,0.28262038758627595,0.0,0.28262038758627595,0.28262038758627595,0.0,0.0,0.0,0.0,0.07915304732526209,0.07915304732526209,0.0,0.21960706836037597,0.21960706836037597,0.0,0.21960706836037597,0.21960706836037597,0.0,0.03934328375721574,0.03934328375721574,0.0,0.03934328375721574,0.03934328375721574,0.21960706836037597,0.0,0.0,-0.10406058221813018,-0.10406058221813018,-0.10406058221813018,-0.10406058221813018,-0.10406058221813018,0.0,0.4876988685082144,0.0,0.0,0.4876988685082144,0.4876988685082144,0.4876988685082144,0.4876988685082144,0.4876988685082144,0.4876988685082144,0.0,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.0,0.021985517091028774,0.0,0.0,0.0,0.4876988685082144,0.4876988685082144,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.0,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.22393307180386418,0.0,-0.19230025980684748,-0.19230025980684748,-0.19230025980684748,-0.19230025980684748,0.0,-0.19230025980684748,-0.19230025980684748,-0.19230025980684748,0.0,0.021985517091028774,0.021985517091028774,0.021985517091028774,0.021985517091028774,0.0,-0.014551112037498714,-0.014551112037498714,-0.03583631205018309,-0.014551112037498714,-0.014551112037498714,-0.014551112037498714,0.0,0.15034771005408895,0.15034771005408895,0.15034771005408895,0.15034771005408895,0.15034771005408895,-0.03583631205018309,-0.03583631205018309,-0.03583631205018309,0.15034771005408895,0.15034771005408895
ACH-000005,0.0,0.0,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.0,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.8770154017626839,0.0,0.6078851715664644,0.6078851715664644,0.6078851715664644,0.6078851715664644,0.6078851715664644,0.0,0.0,0.5007358714915798,0.5007358714915798,0.5007358714915798,0.5007358714915798,0.5007358714915798,0.5007358714915798,0.5007358714915798,0.0,0.5007358714915798,0.5007358714915798,0.0,0.0,0.0,0.0,0.127787217414346,0.127787217414346,0.0,0.29813652362035126,0.29813652362035126,0.0,0.29813652362035126,0.29813652362035126,0.0,0.1437392470892626,0.1437392470892626,0.0,0.1437392470892626,0.1437392470892626,0.29813652362035126,0.0,0.0,0.24798227950436255,0.24798227950436255,0.24798227950436255,0.24798227950436255,0.24798227950436255,0.0,0.6041846985065294,0.0,0.0,0.6041846985065294,0.6041846985065294,0.6041846985065294,0.6041846985065294,0.6041846985065294,0.6041846985065294,0.0,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.0,0.2695717308834035,0.0,0.0,0.0,0.6041846985065294,0.6041846985065294,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.0,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.4069141052876819,0.0,0.04552616689855485,0.04552616689855485,0.04552616689855485,0.04552616689855485,0.0,0.04552616689855485,0.04552616689855485,0.04552616689855485,0.0,0.2695717308834035,0.2695717308834035,0.2695717308834035,0.2695717308834035,0.0,0.22282152239588676,0.22282152239588676,0.0949258317964602,0.22282152239588676,0.22282152239588676,0.22282152239588676,0.0,0.45913667207676323,0.45913667207676323,0.45913667207676323,0.45913667207676323,0.45913667207676323,0.0949258317964602,0.0949258317964602,0.0949258317964602,0.45913667207676323,0.45913667207676323
ACH-000007,0.0,0.0,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.0,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.09767860972476645,0.0,0.0774695718844027,0.0774695718844027,0.0774695718844027,0.0774695718844027,0.0774695718844027,0.0,0.0,-0.02860499180830171,-0.02860499180830171,-0.02860499180830171,-0.02860499180830171,-0.02860499180830171,-0.02860499180830171,-0.02860499180830171,0.0,-0.02860499180830171,-0.02860499180830171,0.0,0.0,0.0,0.0,-0.037051185755671616,-0.037051185755671616,0.0,0.32242175302760584,0.32242175302760584,0.0,0.32242175302760584,0.32242175302760584,0.0,0.20377451083271222,0.20377451083271222,0.0,0.20377451083271222,0.20377451083271222,0.32242175302760584,0.0,0.0,0.38748302757015624,0.38748302757015624,0.38748302757015624,0.38748302757015624,0.38748302757015624,0.0,0.2411306244260144,0.0,0.0,0.2411306244260144,0.2411306244260144,0.2411306244260144,0.2411306244260144,0.2411306244260144,0.2411306244260144,0.0,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.0,0.030465250808106515,0.0,0.0,0.0,0.2411306244260144,0.2411306244260144,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.0,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.16968023297630688,0.0,0.2187388856566909,0.2187388856566909,0.2187388856566909,0.2187388856566909,0.0,0.2187388856566909,0.2187388856566909,0.2187388856566909,0.0,0.030465250808106515,0.030465250808106515,0.030465250808106515,0.030465250808106515,0.0,0.030660247023632167,0.030660247023632167,-0.026699289882104862,0.030660247023632167,0.030660247023632167,0.030660247023632167,0.0,-0.1069865836814464,-0.1069865836814464,-0.1069865836814464,-0.1069865836814464,-0.1069865836814464,-0.026699289882104862,-0.026699289882104862,-0.026699289882104862,-0.1069865836814464,-0.1069865836814464
ACH-000009,0.0,0.0,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.0,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.7722381773423989,0.0,0.6740759933132932,0.6740759933132932,0.6740759933132932,0.6740759933132932,0.6740759933132932,0.0,0.0,0.6649452739617276,0.6649452739617276,0.6649452739617276,0.6649452739617276,0.6649452739617276,0.6649452739617276,0.6649452739617276,0.0,0.6649452739617276,0.6649452739617276,0.0,0.0,0.0,0.0,0.22508448914944756,0.22508448914944756,0.0,0.3439912768868227,0.3439912768868227,0.0,0.3439912768868227,0.3439912768868227,0.0,0.19510737920761317,0.19510737920761317,0.0,0.19510737920761317,0.19510737920761317,0.3439912768868227,0.0,0.0,0.5884771398053086,0.5884771398053086,0.5884771398053086,0.5884771398053086,0.5884771398053086,0.0,0.3281237760867025,0.0,0.0,0.3281237760867025,0.3281237760867025,0.3281237760867025,0.3281237760867025,0.3281237760867025,0.3281237760867025,0.0,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.0,0.2287696465283775,0.0,0.0,0.0,0.3281237760867025,0.3281237760867025,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.0,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.4683786218578162,0.0,0.3198302841743721,0.3198302841743721,0.3198302841743721,0.3198302841743721,0.0,0.3198302841743721,0.3198302841743721,0.3198302841743721,0.0,0.2287696465283775,0.2287696465283775,0.2287696465283775,0.2287696465283775,0.0,0.3048794192034618,0.3048794192034618,0.11913985727128588,0.3048794192034618,0.3048794192034618,0.3048794192034618,0.0,0.31690041700087435,0.31690041700087435,0.31690041700087435,0.31690041700087435,0.31690041700087435,0.11913985727128588,0.11913985727128588,0.11913985727128588,0.31690041700087435,0.31690041700087435
ACH-000011,0.0,0.0,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,0.0,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,-0.3562975259863678,0.0,-0.29295875642667807,-0.29295875642667807,-0.29295875642667807,-0.29295875642667807,-0.29295875642667807,0.0,0.0,-0.16134261084252807,-0.16134261084252807,-0.16134261084252807,-0.16134261084252807,-0.16134261084252807,-0.16134261084252807,-0.16134261084252807,0.0,-0.16134261084252807,-0.16134261084252807,0.0,0.0,0.0,0.0,-0.028301453854546493,-0.028301453854546493,0.0,-0.25310724022756076,-0.25310724022756076,0.0,-0.25310724022756076,-0.25310724022756076,0.0,-0.10050295118388297,-0.10050295118388297,0.0,-0.10050295118388297,-0.10050295118388297,-0.25310724022756076,0.0,0.0,-0.09788430667469236,-0.09788430667469236,-0.09788430667469236,-0.09788430667469236,-0.09788430667469236,0.0,-0.15758610538222564,0.0,0.0,-0.15758610538222564,-0.15758610538222564,-0.15758610538222564,-0.15758610538222564,-0.15758610538222564,-0.15758610538222564,0.0,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,0.0,-0.1005769173940844,0.0,0.0,0.0,-0.15758610538222564,-0.15758610538222564,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,0.0,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,-0.10207283042316533,0.0,0.06953961912729849,0.06953961912729849,0.06953961912729849,0.06953961912729849,0.0,0.06953961912729849,0.06953961912729849,0.06953961912729849,0.0,-0.1005769173940844,-0.1005769173940844,-0.1005769173940844,-0.1005769173940844,0.0,-0.11691520564510463,-0.11691520564510463,-0.10616134005519125,-0.11691520564510463,-0.11691520564510463,-0.11691520564510463,0.0,-0.08570071892908913,-0.08570071892908913,-0.08570071892908913,-0.08570071892908913,-0.08570071892908913,-0.10616134005519125,-0.10616134005519125,-0.10616134005519125,-0.08570071892908913,-0.08570071892908913
ACH-000012,0.0,0.0,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.0,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.27025608517682576,0.0,0.34778945784786675,0.34778945784786675,0.34778945784786675,0.34778945784786675,0.34778945784786675,0.0,0.0,0.12132284179764113,0.12132284179764113,0.12132284179764113,0.12132284179764113,0.12132284179764113,0.12132284179764113,0.12132284179764113,0.0,0.12132284179764113,0.12132284179764113,0.0,0.0,0.0,0.0,-0.07396914846837624,-0.07396914846837624,0.0,-0.1732029396833494,-0.1732029396833494,0.0,-0.1732029396833494,-0.1732029396833494,0.0,0.007697139482624567,0.007697139482624567,0.0,0.007697139482624567,0.007697139482624567,-0.1732029396833494,0.0,0.0,0.11943760190993558,0.11943760190993558,0.11943760190993558,0.11943760190993558,0.11943760190993558,0.0,-0.10116034729378845,0.0,0.0,-0.10116034729378845,-0.10116034729378845,-0.10116034729378845,-0.10116034729378845,-0.10116034729378845,-0.10116034729378845,0.0,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,0.0,0.009043489599427423,0.0,0.0,0.0,-0.10116034729378845,-0.10116034729378845,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,0.0,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,-0.0597056047237249,0.0,-0.03477018075754638,-0.03477018075754638,-0.03477018075754638,-0.03477018075754638,0.0,-0.03477018075754638,-0.03477018075754638,-0.03477018075754638,0.0,0.009043489599427423,0.009043489599427423,0.009043489599427423,0.009043489599427423,0.0,0.19915208431599596,0.19915208431599596,0.02024819628338682,0.19915208431599596,0.19915208431599596,0.19915208431599596,0.0,0.01450805854913417,0.01450805854913417,0.01450805854913417,0.01450805854913417,0.01450805854913417,0.02024819628338682,0.02024819628338682,0.02024819628338682,0.01450805854913417,0.01450805854913417
ACH-000013,0.0,0.0,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,0.0,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,-0.24738833949759695,0.0,-0.3644157193864438,-0.3644157193864438,-0.3644157193864438,-0.3644157193864438,-0.3644157193864438,0.0,0.0,-0.14393987381797668,-0.14393987381797668,-0.14393987381797668,-0.14393987381797668,-0.14393987381797668,-0.14393987381797668,-0.14393987381797668,0.0,-0.14393987381797668,-0.14393987381797668,0.0,0.0,0.0,0.0,0.0027822763398298606,0.0027822763398298606,0.0,-0.2857692446266038,-0.2857692446266038,0.0,-0.2857692446266038,-0.2857692446266038,0.0,-0.027973426344403432,-0.027973426344403432,0.0,-0.027973426344403432,-0.027973426344403432,-0.2857692446266038,0.0,0.0,-0.32628101432621026,-0.32628101432621026,-0.32628101432621026,-0.32628101432621026,-0.32628101432621026,0.0,-0.3064058683298224,0.0,0.0,-0.3064058683298224,-0.3064058683298224,-0.3064058683298224,-0.3064058683298224,-0.3064058683298224,-0.3064058683298224,0.0,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,0.0,0.12475508652719228,0.0,0.0,0.0,-0.3064058683298224,-0.3064058683298224,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,0.0,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,-0.26856314075890936,0.0,-0.2899348190645309,-0.2899348190645309,-0.2899348190645309,-0.2899348190645309,0.0,-0.2899348190645309,-0.2899348190645309,-0.2899348190645309,0.0,0.12475508652719228,0.12475508652719228,0.12475508652719228,0.12475508652719228,0.0,0.062436805340955956,0.062436805340955956,-0.1483190468886691,0.062436805340955956,0.062436805340955956,0.062436805340955956,0.0,-0.042108164772770594,-0.042108164772770594,-0.042108164772770594,-0.042108164772770594,-0.042108164772770594,-0.1483190468886691,-0.1483190468886691,-0.1483190468886691,-0.042108164772770594,-0.042108164772770594
ACH-000014,0.0,0.0,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.0,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.21836269834822006,0.0,0.13309252076080802,0.13309252076080802,0.13309252076080802,0.13309252076080802,0.13309252076080802,0.0,0.0,0.3219849649572483,0.3219849649572483,0.3219849649572483,0.3219849649572483,0.3219849649572483,0.3219849649572483,0.3219849649572483,0.0,0.3219849649572483,0.3219849649572483,0.0,0.0,0.0,0.0,0.1949399683808369,0.1949399683808369,0.0,0.06588861659361261,0.06588861659361261,0.0,0.06588861659361261,0.06588861659361261,0.0,0.1838171639798995,0.1838171639798995,0.0,0.1838171639798995,0.1838171639798995,0.06588861659361261,0.0,0.0,0.26618338184212414,0.26618338184212414,0.26618338184212414,0.26618338184212414,0.26618338184212414,0.0,0.21987928049539454,0.0,0.0,0.21987928049539454,0.21987928049539454,0.21987928049539454,0.21987928049539454,0.21987928049539454,0.21987928049539454,0.0,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.0,0.18534549754414817,0.0,0.0,0.0,0.21987928049539454,0.21987928049539454,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.0,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.10364130660155506,0.0,0.22083716070877188,0.22083716070877188,0.22083716070877188,0.22083716070877188,0.0,0.22083716070877188,0.22083716070877188,0.22083716070877188,0.0,0.18534549754414817,0.18534549754414817,0.18534549754414817,0.18534549754414817,0.0,0.024604896318147634,0.024604896318147634,0.23565870670815842,0.024604896318147634,0.024604896318147634,0.024604896318147634,0.0,0.32763184177739174,0.32763184177739174,0.32763184177739174,0.32763184177739174,0.32763184177739174,0.23565870670815842,0.23565870670815842,0.23565870670815842,0.32763184177739174,0.32763184177739174
ACH-000015,0.0,0.0,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.0,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.7036075798640753,0.0,0.49361864307908954,0.49361864307908954,0.49361864307908954,0.49361864307908954,0.49361864307908954,0.0,0.0,0.43159337490746613,0.43159337490746613,0.43159337490746613,0.43159337490746613,0.43159337490746613,0.43159337490746613,0.43159337490746613,0.0,0.43159337490746613,0.43159337490746613,0.0,0.0,0.0,0.0,0.3529735130194088,0.3529735130194088,0.0,0.2000126341736818,0.2000126341736818,0.0,0.2000126341736818,0.2000126341736818,0.0,0.5698734125366762,0.5698734125366762,0.0,0.5698734125366762,0.5698734125366762,0.2000126341736818,0.0,0.0,0.40115500956878997,0.40115500956878997,0.40115500956878997,0.40115500956878997,0.40115500956878997,0.0,0.38281015318565886,0.0,0.0,0.38281015318565886,0.38281015318565886,0.38281015318565886,0.38281015318565886,0.38281015318565886,0.38281015318565886,0.0,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.0,0.4284685632025642,0.0,0.0,0.0,0.38281015318565886,0.38281015318565886,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.0,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.38255147881439644,0.0,0.28020071662971396,0.28020071662971396,0.28020071662971396,0.28020071662971396,0.0,0.28020071662971396,0.28020071662971396,0.28020071662971396,0.0,0.4284685632025642,0.4284685632025642,0.4284685632025642,0.4284685632025642,0.0,0.24111350389509234,0.24111350389509234,0.1975919733949164,0.24111350389509234,0.24111350389509234,0.24111350389509234,0.0,0.20561503099779732,0.20561503099779732,0.20561503099779732,0.20561503099779732,0.20561503099779732,0.1975919733949164,0.1975919733949164,0.1975919733949164,0.20561503099779732,0.20561503099779732
