2.851365965204303077e+00,-5.320637768224689701e-01,-1.027924871960399500e+00,-3.072327606112051218e-02,2.059926629932567477e-01,-8.188207086904984722e-02,-1.377155370434773873e-01,1.207227491396146123e-02,-2.573752436180948289e-01,-4.484004232972080978e-02,-4.794221092103666260e-02,-8.131664558364481987e-02,2.117440400590745730e-01,-5.600927304022560284e-04
-5.320637768224688591e-01,2.525961040548452274e+00,-6.026538161043094588e-01,-2.444333082104717669e-01,-8.770390242017442328e-02,7.006720083532738674e-02,-3.644696463651128648e-01,1.470485682462578103e-01,-3.166583883093334051e-01,1.353437179708604776e-01,-1.180485948572004423e-01,-1.275077858734117442e-01,-9.597515661279187871e-02,8.151678189794997476e-02
-1.027924871960399500e+00,-6.026538161043093478e-01,3.244238743792742685e+00,3.096417281957065601e-02,-6.485750877227258043e-03,-1.516969466627026142e-01,-4.206716534010694342e-01,2.947540060546910423e-01,-1.485263280575523787e-02,-8.167417258822748383e-02,-2.676152090360503499e-01,6.232492413528310793e-02,-7.054575582277518297e-02,7.697364482196122383e-03
-3.072327606112049136e-02,-2.444333082104717669e-01,3.096417281957062478e-02,2.488123667262743144e+00,-1.750184335746750863e-01,-2.467570604365596776e-01,-3.709192459191202901e-03,-1.644160610499384167e-01,-2.185511702043057281e-01,-3.951581775618665526e-01,-5.054933814506893386e-01,-1.458592523083668824e-01,-3.073070764699052659e-02,-2.249321846776614064e-01
2.059926629932566644e-01,-8.770390242017445104e-02,-6.485750877227282329e-03,-1.750184335746750308e-01,2.790983730664053031e+00,-1.027592202717785730e+00,6.091931688480088647e-02,-6.149325193370493853e-02,9.776492441759114527e-02,-2.723099911284710406e-01,-1.705475963092802638e-01,-1.349268672213042169e-02,-1.148496055720947817e-01,4.279975464886496411e-02
-8.188207086904987497e-02,7.006720083532737287e-02,-1.516969466627027530e-01,-2.467570604365596221e-01,-1.027592202717785730e+00,3.443274113109202172e+00,4.444709393492635857e-02,-4.026353813433455886e-01,5.626671765215682935e-02,-3.304507274633986524e-01,-8.126039468362085127e-01,3.480249693972363723e-01,-9.924870620194878312e-02,-6.664961437547246847e-02
-1.377155370434773041e-01,-3.644696463651128648e-01,-4.206716534010692676e-01,-3.709192459191127875e-03,6.091931688480090035e-02,4.444709393492646265e-02,3.488168175881265931e+00,-1.259746261043825699e+00,-1.057166564456811786e+00,1.683693236289807993e-01,1.547319117677374220e-02,-1.649320755994009291e-01,-1.632255017393770824e-01,-9.600376842769484109e-02
1.207227491396142480e-02,1.470485682462578658e-01,2.947540060546909313e-01,-1.644160610499384167e-01,-6.149325193370495241e-02,-4.026353813433455331e-01,-1.259746261043825699e+00,2.982089523084472837e+00,-7.529238735928818205e-01,-5.027029193642943428e-01,3.029900772980687051e-01,2.504020402649362320e-01,2.239303608394595801e-01,-1.663582154692908044e-01
-2.573752436180948844e-01,-3.166583883093334051e-01,-1.485263280575519276e-02,-2.185511702043056725e-01,9.776492441759115914e-02,5.626671765215684323e-02,-1.057166564456811564e+00,-7.529238735928815984e-01,3.091614643461521705e+00,-1.548091709634777102e-01,9.257147117566449923e-02,-3.408148749650493081e-01,1.216128455355618282e-01,1.547186828388553807e-02
-4.484004232972059467e-02,1.353437179708604776e-01,-8.167417258822746995e-02,-3.951581775618665526e-01,-2.723099911284708741e-01,-3.304507274633987635e-01,1.683693236289807993e-01,-5.027029193642943428e-01,-1.548091709634776547e-01,2.613841065785808659e+00,4.576630647903378035e-01,-4.404477813841994327e-01,-6.181980255445870126e-02,-6.514463585782523936e-01
-4.794221092103664178e-02,-1.180485948572003591e-01,-2.676152090360502944e-01,-5.054933814506892276e-01,-1.705475963092803471e-01,-8.126039468362082907e-01,1.547319117677371444e-02,3.029900772980686496e-01,9.257147117566452699e-02,4.576630647903379145e-01,2.352179342330234846e+00,1.855540700832015999e-02,-3.335536875537112311e-01,-2.115249129418120960e-02
-8.131664558364480599e-02,-1.275077858734117442e-01,6.232492413528304548e-02,-1.458592523083668269e-01,-1.349268672213047721e-02,3.480249693972364278e-01,-1.649320755994009569e-01,2.504020402649362875e-01,-3.408148749650495302e-01,-4.404477813841994327e-01,1.855540700832014264e-02,2.145913540407098363e+00,-4.264055005029008805e-01,-3.101772917457356060e-01
2.117440400590744898e-01,-9.597515661279187871e-02,-7.054575582277519685e-02,-3.073070764699051272e-02,-1.148496055720947817e-01,-9.924870620194881088e-02,-1.632255017393771102e-01,2.239303608394596357e-01,1.216128455355618421e-01,-6.181980255445870820e-02,-3.335536875537111756e-01,-4.264055005029009360e-01,1.724290222284792451e+00,-1.458415825140624844e-01
-5.600927304021952047e-04,8.151678189794986373e-02,7.697364482196045188e-03,-2.249321846776613509e-01,4.279975464886498493e-02,-6.664961437547248235e-02,-9.600376842769485497e-02,-1.663582154692907489e-01,1.547186828388558838e-02,-6.514463585782523936e-01,-2.115249129418103613e-02,-3.101772917457357726e-01,-1.458415825140624289e-01,2.343687601795403808e+00
