,OXPHOS_CI,OXPHOS_CII_CIII,OXPHOS_CIV_CV,TCA_PYRUVATE,FAO_LIPID,AA_COFACTOR,MITO_RIBOSOME,mtDNA_RNA,PROTEIN_IMPORT,TRANSPORT,REDOX_DETOX,MITO_DYNAMICS,CELL_DEATH,SIGNALING
ACH-000001,0.3452212468978291,-0.23454723844527883,0.8090931359026434,-0.7677248976692633,-0.2619882374922678,0.09053053291376431,0.3139634467207361,1.201935583314426,0.5035834525719793,1.154563306551569,-0.9281109192984248,1.4953760288072688,0.6752655933363031,0.03825073448495225
ACH-000004,0.24547035623877703,0.4290273551746855,0.143549865029452,-0.36754429757166734,1.2911741622020474,0.33491184290244513,-0.01997709446720877,0.949558218311487,0.6999233502268345,0.027154292888516347,-0.5329337733699917,0.7826617521760112,-0.13240284102894181,-0.29298859854414744
ACH-000005,-0.031941811721765884,0.2865269579210218,0.4716461274154461,0.4570746019558163,1.7864853781456114,1.2059235321358728,1.5350402864383395,1.827280213909644,0.7762853082082974,0.9529395475831448,0.7749101952701156,1.3544096500803415,0.8541847399897666,0.576858795347346
ACH-000007,-0.3331877332485413,0.9003777437791398,0.3341208583605149,0.945610192734034,0.20640538614210174,0.10129411968109997,-0.3798235616340308,0.22667713065403816,-0.8788566022628179,0.2624940575409222,0.1966650086846486,-0.055474413164845755,-0.7878454280060193,-0.2615438957690411
ACH-000009,-0.15760242250762835,0.09200331900788819,-0.5476783550784196,1.3177405981028416,0.5403015243327497,1.4155984625927662,1.0793415465845482,1.6505059670553288,2.1641632741028807,0.7646516711174457,0.30506057356177485,1.0262251139871625,-0.37094045473237014,0.7804447056463354
ACH-000011,0.10838524245857797,-0.5343125344935462,0.12194991031226646,-0.5548815059177862,-0.490757282776527,-0.3642453464830504,-1.0859732319536233,-0.6927203183815634,-0.2579698146101902,-0.5202782502903401,0.6261877569539038,-0.7046135239954796,0.09506433093647369,-0.38662630846097457
ACH-000012,-0.4769149776922501,-0.762410820146404,-0.26004134258066786,-0.11281195269361008,-0.7293528882832955,-1.7249559657380424,0.9874272935314633,0.5596834805010877,0.39319470792282996,-0.7087740281318932,-0.9791755969071142,-0.0689866217875082,-0.4573510911346379,-0.019516685570620848
ACH-000013,-0.153543900435468,-0.5587960015851707,0.07568874170179933,-0.8486448808232412,-0.9164865549978083,-0.8920437558551064,-1.028948181860125,-0.02395270011136963,-0.09585391549971795,0.9288931825041656,-1.0475746602561533,0.603114949931217,-0.2414920496859253,0.28831423262544276
ACH-000014,-0.16878795463549898,-0.6917936983363758,-0.20679720814916955,-0.21190302198381017,0.1859597564481859,-0.5329543433797337,-0.9577477851367924,0.902497076142075,0.5151570640106571,0.51449518907883,0.25839234162920593,0.46235161770885236,0.2561094994892262,-0.43289010195104916
ACH-000015,0.33581827709168716,-0.23967040965873843,1.522254521298023,0.7458562653160746,1.2791220113577442,0.3694614386874391,0.6844340169058232,1.8015223080005698,0.7589925898338847,0.7789208137895814,0.6570961026523272,-0.4344946499182726,0.31350789582782324,0.19107814397568906
ACH-000017,0.5859879025873643,0.25081188307548324,0.31933291106765305,1.0465140015709609,-0.15403988559756848,-0.28536005052894575,0.3404330290292099,0.3492379049616331,0.6557256144380504,0.175641844039253,0.2417007824023941,0.4108363925731717,-0.4010015703860133,0.20428668821513427
ACH-000018,0.3840967035713553,-0.10228821425944856,-0.454239462006458,0.9962588998346732,-0.4733368200559858,-0.019580972464657856,0.14171948373561874,0.7415825294517204,0.9884468603815234,1.7669664958463858,0.4408420336746353,1.4202523233211723,0.3734830957820433,1.5152417829467164
ACH-000019,0.5914181800337004,0.03816994949627053,1.0008596388853737,0.29011373714632127,0.09878457588794898,0.2965702729713163,0.3267658694636278,0.31801252831086063,0.10641148821256638,0.8237971020460834,0.11356714778158478,0.24681744597435604,0.4639397870940551,0.0751014488689947
ACH-000021,0.6964580069161317,1.9310685509073346,2.2551282803100894,-2.13547623514073,-0.5880124630953226,-0.773877696178687,1.7726586012174053,-1.2276878540532135,-0.8234323051568498,-0.9824273045454454,-0.4795158921885825,-0.5567877281019581,0.06485925207479201,-1.4536965683134475
ACH-000022,-0.49915297957001853,-0.19612696588994483,-0.16523392062842315,0.7476669909961814,1.0468844239390642,0.6197779537109754,-1.014995817095958,0.02204451118727447,-0.18236053864240137,-0.331485080345997,-0.6071483523951111,-1.0269619254968296,-1.187466692417636,0.02056839224411073
ACH-000023,0.4252922934736267,1.2984737625584948,0.482252318716243,1.8239187180979326,-0.06876136804294057,1.8231339113775862,0.843054598357881,1.6808323763130422,1.4827662479459702,1.530773373984497,-0.14411304869729366,1.1675803141944414,0.79310520386455,1.3773083199717786
ACH-000024,-0.008950548444524978,0.7473063378781156,0.2882394155847822,-0.14988407420863864,0.5788194319221449,0.44780463851981817,-0.6907899586702495,-0.9824434800899247,0.654603615383975,0.14353586302845192,0.5203573126119015,-0.8138407434337447,-0.421773769359237,-0.11431511590861825
ACH-000025,0.1326661208312442,0.9056973233474815,-0.26493642443380094,0.39029696824237825,-1.77543285384402,-0.31073975223453265,1.1552835290711547,0.9555354241732495,0.176313988299979,0.04731653130657035,-0.36432940529313074,0.6489421581993176,-1.2726472939483282,-0.22897062090305967
ACH-000026,0.0007052808041082352,0.33684096060168983,0.7132305025820326,0.45018032031933064,-0.3605694456928989,0.5568312535889609,0.5658656613996373,0.9732414927653529,0.6780804408408517,0.6417733914585163,0.7456092005531219,0.3904942892430926,0.6662741104643288,0.5690852086731009
ACH-000028,0.0029095340031936507,-0.6764870938974501,0.6781474194271324,0.1966181109102941,0.015386199133575874,0.2306054639322695,0.012998659669856739,0.391674242449966,0.07362603037084836,0.5059137319999477,-0.032358441237443615,0.22535405885284618,0.22676146744120512,0.30763850144954263
ACH-000029,-0.19178522135067538,-0.2037731780351734,0.07266120397101951,0.01737570558986383,-0.12012894754883122,-0.3491784324819239,0.04248222947512364,-1.167959965315858,-1.3281880987323136,-0.3399388092328529,0.14263036220326236,-1.5388595191792116,-0.6246093582946368,-0.587865014093383
ACH-000030,-0.7123317060767403,-0.5701315913984599,-0.5913787406348305,-0.2977237700197131,0.020890950911875022,-0.6887433214733573,-0.8100996404214172,-0.9727934089572304,-0.09580234771129327,-1.5337386396914876,0.5146687623909679,-0.42203677519223104,-1.0333311631836168,-0.20367286974152
ACH-000035,-0.03236320458059494,0.5478857572857979,-0.03533279447168058,0.7721153804782375,0.20275516803446866,0.05026889036694331,-0.16653671427182204,-0.1395551304853387,-0.1373135129556181,-0.2168336455996871,0.8177078512919898,0.4230452722928201,0.6488814764931363,0.21155765453072298
ACH-000036,-0.3280297225843634,-0.9778446265361874,-0.20666829396286762,-0.8218439516412119,-0.4536095338000123,-0.6786785303269615,-1.84312734799322,-1.590189667127113,-1.3599851363093514,-0.35167051128231364,0.37380389619455673,-0.5840623239118028,0.010199754484539723,-1.0281691624338458
ACH-000037,-1.200385656819828,-0.7871297505332152,-1.0129302966590128,0.719167332937675,-0.9162845407661108,-1.0801675844237282,-1.0152235245523928,0.23124249619179377,0.4584737493921454,-0.04318236044793786,-0.4026855927839502,1.086671777881856,0.5336247465494547,-0.07545423108182349
ACH-000039,1.322251524355071,-0.016100625842542696,-0.5353539033454146,-0.1689724399778738,-0.10074132454051354,-0.6263261600700323,0.6094466778136601,1.3239816483787588,1.6247889665833222,0.3020681364047393,-1.5550169840264951,1.1158649021778455,0.16721000166318642,-0.23429525822388964
ACH-000040,-0.10147400855588345,-0.24119397442604792,-0.9662433555429384,0.0058553462463335725,0.22440779617420373,0.34219042026392854,0.40712324813928363,1.3273230610872833,1.1515455031823467,0.12181835703701743,-0.2616187092355057,1.0826532395772313,-0.59809761103349,0.7681553773616083
ACH-000041,-0.005454539364919464,-0.9161484898711775,-0.7224330984467427,-0.011466446849694173,1.1097290186163447,0.8874812058543183,-0.3447340963428862,1.1590209591798752,0.9229811726823672,1.0509633663570852,0.3240351462713801,0.9932299698250048,0.4121160356940161,0.9037899843134729
ACH-000042,-2.945245987979538,-2.8486234460146735,-3.0835533282925454,-2.378135671307431,-2.1485328617908737,-1.8419434785096958,-2.547076958777303,-0.8233398601847519,-1.4145536654748299,-1.5434129618272576,-2.0596827270185134,-1.010657716160871,-2.2447983386269805,-1.6766111598530544
ACH-000045,1.129677950780735,0.09516427113195508,0.6903435267197808,-1.1326347006472959,-1.2469558346507603,-0.8810897704509506,0.23393955530404234,0.3747722365357552,0.5952948294495045,-0.587256196768609,-0.2227563663553942,-0.4235792418401859,0.3407121741332171,-0.8550962004776456
ACH-000048,-0.09684158468687519,-0.00015072772089153112,-0.3876125308664987,0.0051806061905240635,0.604246581461547,0.6914714850905949,0.009046139962783004,2.191114054371066,0.7114327576089737,1.1711410611592674,0.8378732200363896,0.015797047676730416,-0.2068669700975169,1.299922638633557
ACH-000052,0.6467971993546539,-0.2839773025536723,-0.3174357561863079,0.6821258978291219,0.8582040273762117,1.4096456662846313,-0.8001772775534474,0.6728739947282989,0.6704882185084199,0.8435014783627084,0.9244887519334043,0.6099825470162515,0.696524232503151,1.159337980988154
ACH-000053,-0.3225529857722929,0.018644928590840947,-0.984156465473194,-0.6712036332478482,-0.09210717013394065,-0.18112599942239244,-0.9561077852192571,-1.1360504091757808,0.1366834611693282,-1.129035226722508,0.6457095212967437,-0.20510955601892789,0.4612777435348232,-0.21994663905364067
ACH-000054,-0.11043422431709286,0.6551926736548765,0.11743669442840948,0.8474410707270977,-1.0380067502766515,-0.6272019919749058,0.5688400108767838,1.138158763469737,1.668705082353125,-0.24131676805567603,0.14251716909201115,1.1326768342937152,0.2278087878251972,0.20900710912757878
ACH-000055,-1.0607918300289114,-1.0002617835793846,-1.0100584118086586,-1.7656725765140844,0.13740989576084459,0.1373257719388914,0.23418287445755165,0.9639505989036409,1.2897891983605156,-0.22991652507162563,-1.40288943525409,-0.7818818640940491,-0.641395216064595,-1.363437682224643
