,OXPHOS_vs_TCA_balance,FAO_vs_TCA_preference,Fusion_vs_Fission_balance,OXPHOS_Assembly_Stress,mtDNA_TCR_ratio,mtDNA_TCR_balance,BCL2_prosurvival_vs_prodeath,BCL2_prosurvival,BCL2_prodeath,Mitophagy_vs_Biogenesis
ACH-000001,1.0518216192710765,0.45592119355927085,0.9121096963343887,0.13079522190141368,0.41314169979194526,-0.37791854167408406,0.23473087862524078,0.11525911402984053,-0.11947176459540026,-0.5686095237167264
ACH-000004,0.42142104681946346,1.3881740511584493,0.7313814443835017,0.15867037622389,0.541281724481792,-0.30316742667974483,-0.17322064257534686,-0.08120574365791491,0.09201489891743193,0.1946729409604866
ACH-000005,-0.20668356121827933,1.0275743794549026,1.0223479482618691,0.43193713638236597,0.9015654556184625,-0.09687708693031327,0.37758074110296524,0.35849082000589716,-0.01908992109706806,-0.42014665871785956
ACH-000007,-0.6139251362906049,-0.5931224526012743,0.08580215471671959,-0.09448847103311214,-1.9626213663084342,0.34223385675214896,0.0632922075388482,-0.17907182242070085,-0.24236402995954906,-1.4282340654015044
ACH-000009,-1.2522693280591186,-0.6734538946747405,0.5431581397927296,0.24348148073644685,1.0432856049976018,0.03264831921060818,0.5055236137614716,0.14182739246669768,-0.3636962212947739,-1.431375811865605
ACH-000011,0.19743541740339685,-0.02412003951795777,-0.3702060611193704,-0.36241273826159404,0.8478617424039624,0.06298404174912409,-0.3649133625908453,-0.2596989495912104,0.10521441299963483,0.84378508964571
ACH-000012,-0.4738266892309079,-0.6608420332511322,-0.16405831215866418,0.41406273719338504,-10.0,0.43347651098708373,0.5769315989369771,0.3464638737000841,-0.23046772523689305,-0.3831136118527304
ACH-000013,0.7053944601155356,0.05503186316868003,0.6605039495432086,-0.27165540315705433,-2.8173474149429376,-0.5421371115183664,0.19851541499935316,-0.1641294333719147,-0.36264484837126787,0.37100513687880454
ACH-000014,-0.07878873772686597,0.1754449701583233,-0.08359606741860642,0.08207382137300995,0.28500517927886015,-0.2921439514444285,-0.10922508292807187,0.17616280404291235,0.2853878869709842,0.7299420994195106
ACH-000015,-0.2969192110231222,-0.05717322567244876,0.5813106045016246,0.06614559557515337,0.5662812796202429,-0.40592669950223637,-0.004856551841547985,-0.49745815107923386,-0.49260159923768587,-0.47889046545676306
ACH-000017,-0.774428365722345,-1.4289374000711625,0.3791392288104446,-0.45436844164063395,-0.35758724827456034,0.11318419365389142,0.18156838469943884,-0.21768009739639896,-0.3992484820958378,-0.9536367051661889
ACH-000018,-0.9046986679273772,-1.1363732639949184,0.47203272271266794,0.17922927969550473,0.09931685541908561,-0.49811749132366356,0.11356835776510665,0.6365137100277731,0.5229453522626665,0.2785668348769792
ACH-000019,0.2552714755644465,-0.39502697137899584,0.3474274836864383,-0.13996809438015462,0.5214437443891871,-0.1254763713637895,0.7709783554540537,0.34974882812589264,-0.421229527328161,-0.5146308399345467
ACH-000021,2.289034764536898,0.7075013531081413,0.09033506398558634,0.2991351469892581,-0.5538287747251587,-0.17528406614791994,-0.28457375902017656,-0.35903413567233206,-0.0744603766521555,-0.3762901925682145
ACH-000022,-0.5853853449852406,0.14254192801563542,-0.025132395033183597,-0.4671729184978705,2.559856517777463,-0.145375952041767,-0.3009836164616804,-0.7459954884356355,-0.44501187197395503,-0.16844435750568598
ACH-000023,-0.6333651937777378,-1.2716430313953293,0.4502846631143682,0.19917344259493797,0.6930936212935479,-0.22927988272015654,-0.2869766820491549,-0.08371577399339748,0.20326090805575742,0.22884791587456443
ACH-000024,0.1987938113677961,0.4942719758715976,-0.761725606517661,-0.09876722240886956,-6.326391004200247,-0.22667958701582458,0.4577575451919929,-0.1753465963439464,-0.6331041415359393,-0.3417179607504883
ACH-000025,-0.203200981426162,-1.047974588977366,1.2324869555064017,0.2554779119193995,1.5827028464440918,0.10045526519403017,0.1534300448183858,0.2622767746974104,0.10884672987902459,-1.0653231336530693
ACH-000026,-0.2411425236309635,-0.6816457215870206,-0.3045971247187738,0.021494118433012577,0.7197714667213374,-0.11628998310745936,0.27819149435242796,0.6444192558769011,0.3662277615244731,-0.3917583172255833
ACH-000028,-0.2795930309693003,-0.3632981102982705,-0.038309060952014765,-0.29602752248096276,0.4311754919934663,-0.03767664803781397,-0.10108915591999655,-0.11704159821917345,-0.015952442299176903,0.007646953463512407
ACH-000029,-0.28326764755383416,-0.3948183720085188,-0.12445525435931938,0.4346462751250581,-0.20677343943988,0.4610025829935033,0.18960571820653996,-0.061597956577153466,-0.25120367478369343,-0.01664330262514395
ACH-000030,-0.4450128458404832,-0.11350296412544775,-0.24575955114678288,0.017844299113910306,0.2595685425876904,0.2869115581214047,-0.5370334771506798,-0.5168913435115201,0.020142133639159725,-0.03976168434094779
ACH-000035,-0.576804332726372,-0.6902938338395055,0.49787677698992255,0.09265014071593683,0.8889858406493122,-0.021089135937542053,-0.6352610803737103,-0.3968824080242155,0.23837867234949486,0.39398747901087977
ACH-000036,-0.01024801456323432,0.23846801275675844,-0.8614700370311514,-0.15440772499582758,0.9440107891332622,0.035588294545530474,-0.5437762980807598,-0.36851166415198816,0.1752646339287716,2.5220250787583574
ACH-000037,-1.0080932100437487,-1.0808739989571705,0.11851352802689974,-0.002189753815764306,2.102705423755136,-0.17163031565025746,-0.18827419271167667,0.03315337012563463,0.2214275628373113,1.4739801332405873
ACH-000039,0.4703401664689861,0.12280358152350276,0.7350418434420277,-0.06105803027820689,0.6217006193365022,-0.29228034393903846,-0.43136258017456824,-0.5186466988907369,-0.08728411871616863,-0.2974957686582513
ACH-000040,-0.4593121796615889,0.026665903047826678,0.3853077062144009,0.4287552153048414,0.5500958591147833,-0.28796721891477706,-0.04008782329558491,0.3936662991343606,0.4337541224299455,0.30009405705768527
ACH-000041,-0.12509251077016154,0.6932655908393252,-0.6282804022771363,-0.08740210969613986,0.4654799489724245,-0.48619830711579415,-0.37500147126588684,-0.6264476403684587,-0.25144616910257184,0.8297588251491946
ACH-000042,-0.1986636678216338,0.5992141625774883,0.4662466116042227,-0.18108152534129174,1.3905942908683115,-0.281649766219234,0.08751363287650715,-0.49258190426967774,-0.5800955371461849,1.1526991584641826
ACH-000045,1.238831044963244,0.7026060496236946,-1.1786680029540955,-0.23474738551639923,0.17057374200423175,-0.21187103749512315,-0.8423509582399901,-0.3736396144999204,0.4687113437400697,0.009105475033879588
ACH-000048,-0.010759879621280916,0.382311762711675,-0.05112728209132582,0.022852550562527697,0.7166832491397765,-0.18366284053126114,-0.05568370922312327,-0.5590728409290897,-0.5033891317059664,-0.01724733238588738
ACH-000052,-0.14732906412632668,0.18453780470570014,0.33279561280796294,-0.1146735238146181,0.4531489696338646,-0.2873939992644007,-0.21505336869953406,-0.18730336036326242,0.027750008336271653,1.0365052194661093
ACH-000053,0.04852642386965478,0.5175628248722259,-0.24236445377310192,-0.020473256576098914,1.1172338232043504,-0.022847958138695473,1.4631647302530046,1.2578693991535084,-0.2052953310994963,0.41985861733351915
ACH-000054,-0.2332197925209008,-1.2683885214526422,0.9058877023894244,0.23443674429984124,0.8259066526217067,-0.07920167547922763,-0.03867185853891597,0.6316467498785775,0.6703186084174935,-0.14842904264416346
ACH-000055,0.18749016526133722,1.0553322027458985,0.39483844280484204,0.13070829174001794,0.5711608263037324,-0.19478299903285473,-0.10980255014737919,-0.26121853940414985,-0.15141598925677066,-0.54746470615553
ACH-000060,0.8620734959201222,-0.6009129924006993,-0.6306529436320731,0.009874161831642525,0.7456999651637846,-0.08923582209446135,-0.26613625937812874,-0.13376450422006164,0.1323717551580671,-0.8914289293932642
ACH-000067,-0.9902588417404671,-0.5540595663983694,0.6194935330473219,0.14515629017011672,-0.39401118578846467,-0.3169689901705051,0.01261158251965755,-0.06993916039586713,-0.08255074291552468,0.8979340316260569
ACH-000070,-0.3143798309033601,-0.659254858811406,-0.27491701416489445,-0.36901977384705903,-0.2171327758452087,-0.6313045799966175,-0.13359169039706192,-0.5224674569221168,-0.3888757665250549,-0.7760161570845132
ACH-000074,0.07218987372342442,0.7900086138512534,0.2786103786809012,0.11987171160032421,1.015837205637687,0.009588440857162817,-0.4342182919359139,-0.46685165671842166,-0.032633364782507765,-0.5372730719174672
ACH-000075,0.29361376068229134,0.005576516170307827,0.0690644247932708,0.05438061029067712,1.871934958432398,0.05577537910757392,0.11291759116457752,0.21389585416362172,0.10097826299904421,0.8678467662969556
ACH-000076,-0.7543845958382639,0.8103361259882069,0.27218999311289427,0.47455522160284325,3.0760639622853487,0.21281520542409094,-0.14022025477486705,-0.14603763794474708,-0.0058173831698800456,0.6981668723737149
ACH-000077,-0.388930460095225,0.292777967968533,0.5598599360084532,0.1646486589709087,0.6932640774998918,-0.2897342118440833,-0.580973262514335,-0.3587506584267247,0.22222260408761033,-1.201718199414422
ACH-000078,-0.7873652680039681,0.7871294513426228,-1.1164917129052956,0.2805897565527222,7.276662863189277,-0.2840811854769272,-0.2981579507131154,-0.28890536851840365,0.009252582194711763,1.8443497444039627
ACH-000082,-0.37211473095361247,-0.11821298457274793,0.3760739366240935,0.2683729434698505,0.24244861620018177,-0.6195966337811103,0.09427981023920332,0.3418011622507994,0.24752135201159606,-0.36984426301819034
ACH-000085,-0.39589257283188894,-0.4488681195897033,0.5891730408910671,-0.31013953264212346,-7.160828699226493,0.08575187190069838,0.21906838887693045,0.08216290270129431,-0.13690548617563614,-0.5790640551062475
ACH-000086,2.5224211112937343,0.009885702584507161,-0.46443199535971497,0.1911023311775526,1.7203363346676428,-0.07850457413167629,-1.0121059352171615,-0.4910378914462209,0.5210680437709406,-0.9866464754042964
ACH-000087,0.0354043987075309,0.3175376911725463,-0.01461250429258032,-0.04121362859432062,0.5001692219612847,-0.5361585608101058,-0.17733123355055896,-0.3404306991153775,-0.16309946556481852,-0.17132125578284235
ACH-000090,0.6136253714889189,-0.21272634277875602,1.2485499541105518,-0.40624843313617487,1.9425389747681479,-0.2529068506729785,-0.06941226120804994,-0.3492993647997582,-0.27988710359170826,0.617834102095286
ACH-000092,-0.5156707864593402,-0.45515829978624456,0.5055760815759575,0.08983099449391374,2.4336795501560564,0.12390844970444265,-0.4214620726877084,-0.3874436103914743,0.03401846229623409,0.01631361940062731
ACH-000093,0.03820852293096755,0.5590608616317289,-0.583318559262563,-0.10647615051029803,0.5883829997169383,0.08339145248222447,-0.4200877241150852,0.1892645961933043,0.6093523203083895,0.8619508625423324
ACH-000094,0.18468536460857182,0.2617613469888372,0.5438376179438352,-0.30177798892356594,0.5891224351640486,0.2202830524357815,0.0677648511338169,0.17176382850933314,0.10399897737551624,0.14806211393645913
ACH-000095,-0.9468453537599538,-0.07220006516335681,-0.03375063532483069,0.2012427361504765,0.5980858364050836,0.09586177331603166,-0.13774615530574935,-0.479971530951046,-0.34222537564529665,0.9878497361192116
ACH-000096,-1.1615132559359378,-0.4809977017599205,0.16401434416778626,0.5170220924910788,0.9651177018684844,-0.0377684652674275,0.03050125380689722,0.17785330213134992,0.1473520483244527,-0.8188696953433515
ACH-000097,0.9300814740420404,0.2939995756075988,0.47952056796551235,-0.18254432243350438,0.4803896631786208,-0.17664518060629783,0.34514362687131533,0.3619147439232033,0.016771117051887965,0.1526261540152809
ACH-000098,-0.7002915285691116,-1.0425103740732569,1.0931042770524984,0.3486176142640835,0.7819185066965669,-0.09459354657583924,0.10100359772260148,0.3217426801964987,0.22073908247389723,0.6452369304756466
ACH-000099,0.7318679663161123,0.3795617596207055,-1.1215931414949585,0.06584543304358702,-0.34686339833520835,-0.22227509122024516,0.025166799981534822,0.019115535251337402,-0.006051264730197421,0.7415865668114893
ACH-000100,-0.13390179686657566,0.9770590806908466,1.1117925618792857,-0.14910916210134875,0.10252037504931562,-0.7842154234166907,0.24710905419318652,-0.13734070069506848,-0.384449754888255,0.43078569136356165
ACH-000101,-1.2389136528329403,-0.8701942174324122,-0.15981414873092786,-0.04001877900792815,-0.27709320135960513,-0.5357610181906449,-0.9285600006585111,-0.7010777406034383,0.22748226005507283,1.1641154117857528
ACH-000103,-0.4598148009625078,0.0015156814120885764,-0.2807027839803278,-0.34543793749408164,0.5798020468403348,0.14206040160957997,0.3765694104034907,0.1175842723855354,-0.2589851380179553,0.6909206896605666
ACH-000106,-0.7278989399201219,-0.040110659916662406,1.4317343088172674,-0.03159838341526239,0.20245684766602717,0.19351717382456346,0.6540870075085761,1.4266311356886365,0.7725441281800605,0.08380332357989051
ACH-000108,0.08775439422670847,0.4926780404884812,0.09569549014951498,0.0612894504253188,0.5213046118889408,0.20096947830703785,-0.42329816837274703,-0.20149509117699024,0.22180307719575676,0.6728927395608577
ACH-000111,-1.177514796539371,-0.6858965529861727,0.5837743891831456,-0.16349701583299558,-3.565016635822157,-0.3049344590790609,-0.14295642997011085,-0.14174386041263004,0.0012125695574808143,0.802762553939722
ACH-000113,-1.1183147103648894,-0.30604282974141833,-0.1633633983630784,0.28993543594634763,0.9950194928960183,-0.0004614793475059553,-0.2181699804291929,-0.13862769148513934,0.07954228894405355,0.24742306255030488
ACH-000114,-0.21485202612413623,0.5454490602345656,0.10361426197948254,-0.008689408661663567,0.8367014210179395,0.15355695771450195,0.45766185574259555,0.40308063601220273,-0.05458121973039279,1.3197902476977474
